offset,Chord,NormalForm,PCsinNormalForm,Measure Number,Measure Beat
63.666666666666700,<music21.chord.Chord B5 B4 E4>,"[0, 5]","[11, 4]",26,3
63.75,<music21.chord.Chord E-5 B5 B4 G4 E4>,"[0, 1, 4, 8]","[3, 4, 7, 11]",26,3
63.875,<music21.chord.Chord E-5 B5 G4 E4>,"[0, 1, 4, 8]","[3, 4, 7, 11]",26,3
64.0,<music21.chord.Chord B4 B5 E4>,"[0, 5]","[11, 4]",26,4
64.5,<music21.chord.Chord B4 B5>,[0],[11],26,5
64.66666666666670,<music21.chord.Chord B5>,[0],[11],26,5
64.75,<music21.chord.Chord E5 F4 G#4 B5>,"[0, 1, 4, 7]","[4, 5, 8, 11]",26,5
65.0,<music21.chord.Chord F#4 A4 E5 B5 B3>,"[0, 2, 5, 7]","[4, 6, 9, 11]",27,1
65.25,<music21.chord.Chord F#4 A4 B3>,"[0, 3, 5]","[6, 9, 11]",27,1
65.5,<music21.chord.Chord A4 F#4 B3>,"[0, 3, 5]","[6, 9, 11]",27,2
66.25,<music21.chord.Chord C#5 E4 B3>,"[0, 2, 5]","[11, 1, 4]",27,3
66.5,<music21.chord.Chord B4 E-4 B3>,"[0, 4]","[11, 3]",27,4
67.25,<music21.chord.Chord G4 E-4 B3>,"[0, 4, 8]","[3, 7, 11]",27,5
67.5,<music21.chord.Chord E4 G#4 B3>,"[0, 4, 7]","[4, 8, 11]",28,1
68.0,<music21.chord.Chord G#4 B4 B3>,"[0, 3]","[8, 11]",28,2
68.75,<music21.chord.Chord E5 G#5 B3>,"[0, 4, 7]","[4, 8, 11]",28,3
69.0,<music21.chord.Chord E-5 F#5 B3>,"[0, 4, 7]","[11, 3, 6]",28,4
69.75,<music21.chord.Chord C#5 E5 B3>,"[0, 2, 5]","[11, 1, 4]",28,5
70.0,<music21.chord.Chord E-5 B4 B3>,"[0, 4]","[11, 3]",29,1
70.125,<music21.chord.Chord E5 B4 B3>,"[0, 5]","[11, 4]",29,1
70.25,<music21.chord.Chord B4 B3>,[0],[11],29,1
70.33333333333330,<music21.chord.Chord E-5 B4 B3>,"[0, 4]","[11, 3]",29,1
70.45833333333330,<music21.chord.Chord B4 B3>,[0],[11],29,1
70.5,<music21.chord.Chord C#5 A4 B3>,"[0, 2, 4]","[9, 11, 1]",29,2
71.25,<music21.chord.Chord E-5 B4 B3>,"[0, 4]","[11, 3]",29,3
71.5,<music21.chord.Chord E5 C#5 B3>,"[0, 2, 5]","[11, 1, 4]",29,4
72.25,<music21.chord.Chord C#5 A4 B3>,"[0, 2, 4]","[9, 11, 1]",29,5
72.5,<music21.chord.Chord G#4 B4 E3>,"[0, 4, 7]","[4, 8, 11]",30,1
73.0,<music21.chord.Chord G#4 B4 B3>,"[0, 3]","[8, 11]",30,2
73.66666666666670,<music21.chord.Chord G#4 B4>,"[0, 3]","[8, 11]",30,3
73.75,<music21.chord.Chord G#4 B4 E4>,"[0, 4, 7]","[4, 8, 11]",30,3
73.875,<music21.chord.Chord E4>,[0],[4],30,3
74.0,<music21.chord.Chord G#4>,[0],[8],30,4
74.75,<music21.chord.Chord B4>,[0],[11],30,5
75.0,<music21.chord.Chord A5 E5 C5 B-4>,"[0, 1, 3, 7]","[9, 10, 0, 4]",31,1
75.5,<music21.chord.Chord G5 E5 C5 B-4>,"[0, 3, 6, 8]","[4, 7, 10, 0]",31,2
76.16666666666670,<music21.chord.Chord E5 C5 B-4>,"[0, 2, 6]","[10, 0, 4]",31,3
76.25,<music21.chord.Chord A5 E5 C5 B-4>,"[0, 1, 3, 7]","[9, 10, 0, 4]",31,3
76.375,<music21.chord.Chord A5 C5>,"[0, 3]","[9, 0]",31,3
76.5,<music21.chord.Chord C6 G5 A4 C5>,"[0, 2, 5]","[7, 9, 0]",31,4
77.16666666666670,<music21.chord.Chord C6 C5 A4>,"[0, 3]","[9, 0]",31,5
77.25,<music21.chord.Chord F5 C6 C5 A4>,"[0, 4, 7]","[5, 9, 0]",31,5
77.5,<music21.chord.Chord G#5 E-5 B4 A4>,"[0, 1, 3, 7]","[8, 9, 11, 3]",32,1
78.0,<music21.chord.Chord F#5 E-5 B4 A4>,"[0, 3, 6, 8]","[3, 6, 9, 11]",32,2
78.66666666666670,<music21.chord.Chord E-5 B4 A4>,"[0, 2, 6]","[9, 11, 3]",32,3
78.75,<music21.chord.Chord G#5 E-5 B4 A4>,"[0, 1, 3, 7]","[8, 9, 11, 3]",32,3
78.875,<music21.chord.Chord G#5 B4>,"[0, 3]","[8, 11]",32,3
79.0,<music21.chord.Chord B5 F#5 G#4 B4>,"[0, 2, 5]","[6, 8, 11]",32,4
79.66666666666670,<music21.chord.Chord B5 B4 G#4>,"[0, 3]","[8, 11]",32,5
79.75,<music21.chord.Chord E5 B5 B4 G#4>,"[0, 4, 7]","[4, 8, 11]",32,5
