Offset,Chord,Normal Form,PCsinNormalForm,file,Phrase Boundary,Measure Number,Measure Count
47.5,<music21.chord.Chord G4 D5 F3 A3 E-4>,"[0, 1, 3, 5, 7]","[2, 3, 5, 7, 9]",Children's Corner 113 6 Eb Major.mid,Debussy,24,2.5
48.0,<music21.chord.Chord D4 B-4 B-2 F3 B-3>,"[0, 4, 7]","[10, 2, 5]",Children's Corner 113 6 Eb Major.mid,Debussy,25,1.0
49.0,<music21.chord.Chord B-5 B-6 B-1 B-2>,[0],[10],Children's Corner 113 6 Eb Major.mid,Debussy,25,2.0
50.0,<music21.chord.Chord C4 E-4 G#3 B-3>,"[0, 2, 4, 7]","[8, 10, 0, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,26,1.0
50.125,<music21.chord.Chord C4 E-4>,"[0, 3]","[0, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,26,1.125
50.25,<music21.chord.Chord D4 F4>,"[0, 3]","[2, 5]",Children's Corner 113 6 Eb Major.mid,Debussy,26,1.25
50.5,<music21.chord.Chord D4 F4 G#4 B-4>,"[0, 3, 6, 8]","[2, 5, 8, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,26,1.5
50.625,<music21.chord.Chord D4 F4>,"[0, 3]","[2, 5]",Children's Corner 113 6 Eb Major.mid,Debussy,26,1.625
50.75,<music21.chord.Chord E-4 G4>,"[0, 4]","[3, 7]",Children's Corner 113 6 Eb Major.mid,Debussy,26,1.75
51.0,<music21.chord.Chord D4 F4 G#3 B-3>,"[0, 3, 6, 8]","[2, 5, 8, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,26,2.0
51.5,<music21.chord.Chord C4 E-4 G#4 B-4>,"[0, 2, 4, 7]","[8, 10, 0, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,26,2.5
52.0,<music21.chord.Chord D4 F4 G#3 B-3>,"[0, 3, 6, 8]","[2, 5, 8, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,27,1.0
52.125,<music21.chord.Chord D4 F4>,"[0, 3]","[2, 5]",Children's Corner 113 6 Eb Major.mid,Debussy,27,1.125
52.5,<music21.chord.Chord D4 F4 G#4 B-4>,"[0, 3, 6, 8]","[2, 5, 8, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,27,1.5
52.625,<music21.chord.Chord D4 F4>,"[0, 3]","[2, 5]",Children's Corner 113 6 Eb Major.mid,Debussy,27,1.625
53.0,<music21.chord.Chord B-6 B-5 D4 F4 G#3 B-3>,"[0, 3, 6, 8]","[2, 5, 8, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,27,2.0
53.125,<music21.chord.Chord D4 F4 B-6 B-5>,"[0, 4, 7]","[10, 2, 5]",Children's Corner 113 6 Eb Major.mid,Debussy,27,2.125
53.5,<music21.chord.Chord D4 F4 G#4 B-4>,"[0, 3, 6, 8]","[2, 5, 8, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,27,2.5
53.625,<music21.chord.Chord D4 F4>,"[0, 3]","[2, 5]",Children's Corner 113 6 Eb Major.mid,Debussy,27,2.625
54.0,<music21.chord.Chord C4 E-4 G3 B-3>,"[0, 3, 5, 8]","[7, 10, 0, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,28,1.0
54.125,<music21.chord.Chord C4 E-4>,"[0, 3]","[0, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,28,1.125
54.25,<music21.chord.Chord D4 F4>,"[0, 3]","[2, 5]",Children's Corner 113 6 Eb Major.mid,Debussy,28,1.25
54.5,<music21.chord.Chord D4 F4 G4 B-4>,"[0, 3, 5, 8]","[2, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,28,1.5
54.625,<music21.chord.Chord D4 F4>,"[0, 3]","[2, 5]",Children's Corner 113 6 Eb Major.mid,Debussy,28,1.625
54.75,<music21.chord.Chord E-4 G4>,"[0, 4]","[3, 7]",Children's Corner 113 6 Eb Major.mid,Debussy,28,1.75
55.0,<music21.chord.Chord D4 F4 G3 B-3>,"[0, 3, 5, 8]","[2, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,28,2.0
55.5,<music21.chord.Chord C4 E-4 G4 B-4>,"[0, 3, 5, 8]","[7, 10, 0, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,28,2.5
56.0,<music21.chord.Chord D4 F4 G3 B-3>,"[0, 3, 5, 8]","[2, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,29,1.0
56.5,<music21.chord.Chord C4 E-4 G4 B-4>,"[0, 3, 5, 8]","[7, 10, 0, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,29,1.5
56.625,<music21.chord.Chord C4 E-4>,"[0, 3]","[0, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,29,1.625
57.0,<music21.chord.Chord D4 F4 G3 B-3>,"[0, 3, 5, 8]","[2, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,29,2.0
57.5,<music21.chord.Chord G4 B-4 C5 E-4>,"[0, 3, 5, 8]","[7, 10, 0, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,29,2.5
58.0,<music21.chord.Chord G#3 C4 E-4 B-2>,"[0, 2, 4, 7]","[8, 10, 0, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,30,1.0
58.25,<music21.chord.Chord G#3 C4 E-4 C3>,"[0, 4, 7]","[8, 0, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,30,1.25
58.75,<music21.chord.Chord G#3 C4 E-4 D3>,"[0, 4, 6, 7]","[8, 0, 2, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,30,1.75
59.0,<music21.chord.Chord G#3 C4 E-4 C3>,"[0, 4, 7]","[8, 0, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,30,2.0
59.125,<music21.chord.Chord G#3 C4 E-4>,"[0, 4, 7]","[8, 0, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,30,2.125
59.5,<music21.chord.Chord G#3 C4 E-4 B-2>,"[0, 2, 4, 7]","[8, 10, 0, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,30,2.5
59.625,<music21.chord.Chord G#3 C4 E-4>,"[0, 4, 7]","[8, 0, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,30,2.625
60.0,<music21.chord.Chord G#3 C4 E-4 B-2>,"[0, 2, 4, 7]","[8, 10, 0, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,31,1.0
60.25,<music21.chord.Chord G#3 C4 E-4 C3>,"[0, 4, 7]","[8, 0, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,31,1.25
60.75,<music21.chord.Chord G#3 C4 E-4 D3>,"[0, 4, 6, 7]","[8, 0, 2, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,31,1.75
61.0,<music21.chord.Chord G#3 C4 E-4 C3>,"[0, 4, 7]","[8, 0, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,31,2.0
61.125,<music21.chord.Chord G#3 C4 E-4>,"[0, 4, 7]","[8, 0, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,31,2.125
61.5,<music21.chord.Chord G#3 C4 E-4 B-2>,"[0, 2, 4, 7]","[8, 10, 0, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,31,2.5
61.625,<music21.chord.Chord G#3 C4 E-4>,"[0, 4, 7]","[8, 0, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,31,2.625
62.0,<music21.chord.Chord G3 C4 E-4 B-2>,"[0, 3, 5, 8]","[7, 10, 0, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,32,1.0
62.25,<music21.chord.Chord G3 C4 E-4 C3>,"[0, 3, 7]","[0, 3, 7]",Children's Corner 113 6 Eb Major.mid,Debussy,32,1.25
62.75,<music21.chord.Chord G3 C4 E-4 D3>,"[0, 2, 3, 7]","[0, 2, 3, 7]",Children's Corner 113 6 Eb Major.mid,Debussy,32,1.75
63.0,<music21.chord.Chord G3 C4 E-4 C3>,"[0, 3, 7]","[0, 3, 7]",Children's Corner 113 6 Eb Major.mid,Debussy,32,2.0
63.125,<music21.chord.Chord G3 C4 E-4>,"[0, 3, 7]","[0, 3, 7]",Children's Corner 113 6 Eb Major.mid,Debussy,32,2.125
63.5,<music21.chord.Chord G3 C4 E-4 B-2>,"[0, 3, 5, 8]","[7, 10, 0, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,32,2.5
63.625,<music21.chord.Chord G3 C4 E-4>,"[0, 3, 7]","[0, 3, 7]",Children's Corner 113 6 Eb Major.mid,Debussy,32,2.625
64.25,<music21.chord.Chord B-2 B-1>,[0],[10],Children's Corner 113 6 Eb Major.mid,Debussy,33,1.25
64.5,<music21.chord.Chord C3 C2>,[0],[0],Children's Corner 113 6 Eb Major.mid,Debussy,33,1.5
64.75,<music21.chord.Chord D3 D2>,[0],[2],Children's Corner 113 6 Eb Major.mid,Debussy,33,1.75
65.0,<music21.chord.Chord C3 C2>,[0],[0],Children's Corner 113 6 Eb Major.mid,Debussy,33,2.0
65.5,<music21.chord.Chord B-2 B-0 B-1>,[0],[10],Children's Corner 113 6 Eb Major.mid,Debussy,33,2.5
66.0,<music21.chord.Chord C4 E-4 G#3 B-3>,"[0, 2, 4, 7]","[8, 10, 0, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,34,1.0
66.125,<music21.chord.Chord C4 E-4>,"[0, 3]","[0, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,34,1.125
66.25,<music21.chord.Chord D4 F4>,"[0, 3]","[2, 5]",Children's Corner 113 6 Eb Major.mid,Debussy,34,1.25
66.5,<music21.chord.Chord D4 F4 G#4 B-4>,"[0, 3, 6, 8]","[2, 5, 8, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,34,1.5
66.625,<music21.chord.Chord D4 F4>,"[0, 3]","[2, 5]",Children's Corner 113 6 Eb Major.mid,Debussy,34,1.625
66.75,<music21.chord.Chord E-4 G4>,"[0, 4]","[3, 7]",Children's Corner 113 6 Eb Major.mid,Debussy,34,1.75
67.0,<music21.chord.Chord D4 F4 G#3 B-3>,"[0, 3, 6, 8]","[2, 5, 8, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,34,2.0
67.5,<music21.chord.Chord C4 E-4 G#4 B-4>,"[0, 2, 4, 7]","[8, 10, 0, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,34,2.5
