offset,Chord,NormalForm,PCsinNormalForm,file,Composer,MeasureNumber,MeasureCount
30,<music21.chord.Chord G5 E4 D5>,"[0, 2, 5]","[2, 4, 7]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,10,1
31,<music21.chord.Chord E4 D5 G5>,"[0, 2, 5]","[2, 4, 7]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,10,1.66666666666667
31.5,<music21.chord.Chord E4 C5 E5 G5>,"[0, 4, 7]","[0, 4, 7]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,10,2.0
32.25,<music21.chord.Chord F#5 E4 C5>,"[0, 4, 6]","[0, 4, 6]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,10,2.50
32.5,<music21.chord.Chord G5 E4>,"[0, 3]","[4, 7]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,10,2.7
33,<music21.chord.Chord A5 C5 D4>,"[0, 3, 5]","[9, 0, 2]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,11,1
34,<music21.chord.Chord F#5 C5 D4>,"[0, 2, 6]","[0, 2, 6]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,11,1.66666666666667
34.375,<music21.chord.Chord A5 F#5 C5 D4>,"[0, 3, 6, 8]","[6, 9, 0, 2]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,11,1.917
34.5,<music21.chord.Chord B4 D4 G5>,"[0, 4, 7]","[7, 11, 2]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,11,2.0
35.25,<music21.chord.Chord F#5 B4 D4>,"[0, 3, 7]","[11, 2, 6]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,11,2.50
35.5,<music21.chord.Chord B4 E5>,"[0, 5]","[11, 4]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,11,2.7
36,<music21.chord.Chord F#5 C4 B4>,"[0, 5, 6]","[6, 11, 0]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,12,1
37,<music21.chord.Chord C4 B4 F#5>,"[0, 5, 6]","[6, 11, 0]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,12,1.66666666666667
37.5,<music21.chord.Chord F#5 C4 A4>,"[0, 3, 6]","[6, 9, 0]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,12,2.0
38.5,<music21.chord.Chord A5 C4 A4>,"[0, 3]","[9, 0]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,12,2.7
39,<music21.chord.Chord B4 C4 G5>,"[0, 4, 5]","[7, 11, 0]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,13,1
39.75,<music21.chord.Chord F#5 B4 C4>,"[0, 5, 6]","[6, 11, 0]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,13,1.50
40,<music21.chord.Chord B4 E5 C4>,"[0, 1, 5]","[11, 0, 4]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,13,1.66666666666667
40.5,<music21.chord.Chord B4 F#5 D4>,"[0, 3, 7]","[11, 2, 6]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,13,2.0
41.5,<music21.chord.Chord A5 B4 D4>,"[0, 2, 5]","[9, 11, 2]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,13,2.7
42,<music21.chord.Chord F#5 A5 E4 B4>,"[0, 2, 5, 7]","[4, 6, 9, 11]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,14,1
42.75,<music21.chord.Chord G5 E4 B4>,"[0, 3, 7]","[4, 7, 11]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,14,1.50
43,<music21.chord.Chord E4 B4 F#5>,"[0, 2, 7]","[4, 6, 11]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,14,1.66666666666667
43.5,<music21.chord.Chord E5 E4 B4>,"[0, 5]","[11, 4]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,14,2.0
44.5,<music21.chord.Chord E4 B4 E5>,"[0, 5]","[11, 4]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,14,2.7
45,<music21.chord.Chord E4 C5 D5>,"[0, 2, 4]","[0, 2, 4]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,15,1
46,<music21.chord.Chord E4 C5 D5>,"[0, 2, 4]","[0, 2, 4]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,15,1.66666666666667
46.5,<music21.chord.Chord D5 E4 E5>,"[0, 2]","[2, 4]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,15,2.0
47.25,<music21.chord.Chord F#5 D5 E4>,"[0, 2, 4]","[2, 4, 6]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,15,2.50
47.5,<music21.chord.Chord G5 E4 D5>,"[0, 2, 5]","[2, 4, 7]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,15,2.7
48,<music21.chord.Chord F#5 D4>,"[0, 4]","[2, 6]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,16,1
48.75,<music21.chord.Chord E5 D4>,"[0, 2]","[2, 4]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,16,1.50
49,<music21.chord.Chord D4 D5>,[0],[2],Les Cinq Doigts Larghetto C major.mid,Stravinsky,16,1.66666666666667
49.5,<music21.chord.Chord E5 E4 C5>,"[0, 4]","[0, 4]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,16,2.0
50.5,<music21.chord.Chord E4 C5 E5>,"[0, 4]","[0, 4]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,16,2.7
51,<music21.chord.Chord G4 B4 D5 G5>,"[0, 4, 7]","[7, 11, 2]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,17,1
52,<music21.chord.Chord G4 B4 D5 G5>,"[0, 4, 7]","[7, 11, 2]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,17,1.66666666666667
52.5,<music21.chord.Chord D5 A5 F4 A4>,"[0, 3, 7]","[2, 5, 9]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,17,2.0
53.5,<music21.chord.Chord D5 A5 F4 A4>,"[0, 3, 7]","[2, 5, 9]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,17,2.7
54,<music21.chord.Chord D5 E4 E5>,"[0, 2]","[2, 4]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,18,1
54.75,<music21.chord.Chord F#5 D5 E4>,"[0, 2, 4]","[2, 4, 6]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,18,1.50
55,<music21.chord.Chord G5 E4 D5>,"[0, 2, 5]","[2, 4, 7]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,18,1.66666666666667
