offset,Chord,NormalForm,PCsinNormalForm,file,Measure Number,Measure Count
155.5,<music21.chord.Chord G#2 B4>,"[0, 3]","[8, 11]",AlariodelRio_Sol_Sostenido.xml,26,3 3/4
156,<music21.chord.Chord F#3 B4>,"[0, 5]","[6, 11]",AlariodelRio_Sol_Sostenido.xml,27,1
156.5,<music21.chord.Chord B2 B4>,[0],[11],AlariodelRio_Sol_Sostenido.xml,27,1 1/4
157,<music21.chord.Chord D#3 B4>,"[0, -8]","[11, 3]",AlariodelRio_Sol_Sostenido.xml,27,1 1/2
157.5,<music21.chord.Chord D#3 B4>,"[0, -8]","[11, 3]",AlariodelRio_Sol_Sostenido.xml,27,1 3/4
158,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,27,2
158.5,<music21.chord.Chord A#2>,[0],[10],AlariodelRio_Sol_Sostenido.xml,27,2 1/4
159,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,27,2 1/2
159.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,27,2 3/4
162,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,28,1
162.5,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,28,1 1/4
163,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,28,1 1/2
163.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,28,1 3/4
166,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,28,3
166.5,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,28,3 1/4
167,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,28,3 1/2
167.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,28,3 3/4
170,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,29,2
170.5,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,29,2 1/4
171,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,29,2 1/2
171.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,29,2 3/4
174,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,30,1
174.5,<music21.chord.Chord G#2>,[0],[8],AlariodelRio_Sol_Sostenido.xml,30,1 1/4
175,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,30,1 1/2
175.5,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,30,1 3/4
176,<music21.chord.Chord G#2>,[0],[8],AlariodelRio_Sol_Sostenido.xml,30,2
176.5,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,30,2 1/4
177,<music21.chord.Chord G#3>,[0],[8],AlariodelRio_Sol_Sostenido.xml,30,2 1/2
177.5,<music21.chord.Chord G#2>,[0],[8],AlariodelRio_Sol_Sostenido.xml,30,2 3/4
178,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,30,3
178.5,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,30,3 1/4
179,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,30,3 1/2
179.5,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,30,3 3/4
180,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,31,1
180.5,<music21.chord.Chord A#2>,[0],[10],AlariodelRio_Sol_Sostenido.xml,31,1 1/4
181,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,31,1 1/2
181.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,31,1 3/4
184,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,31,3
184.5,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,31,3 1/4
185,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,31,3 1/2
185.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,31,3 3/4
188,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,32,2
188.5,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,32,2 1/4
189,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,32,2 1/2
189.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,32,2 3/4
192,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,33,1
192.5,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,33,1 1/4
193,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,33,1 1/2
193.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,33,1 3/4
196,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,33,3
196.5,<music21.chord.Chord G#2>,[0],[8],AlariodelRio_Sol_Sostenido.xml,33,3 1/4
197,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,33,3 1/2
197.5,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,33,3 3/4
198,<music21.chord.Chord G#2>,[0],[8],AlariodelRio_Sol_Sostenido.xml,34,1
198.5,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,34,1 1/4
199,<music21.chord.Chord G#3>,[0],[8],AlariodelRio_Sol_Sostenido.xml,34,1 1/2
199.5,<music21.chord.Chord G#2>,[0],[8],AlariodelRio_Sol_Sostenido.xml,34,1 3/4
200,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,34,2
200.5,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,34,2 1/4
201,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,34,2 1/2
201.5,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,34,2 3/4
202,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,34,3
202.5,<music21.chord.Chord A#2>,[0],[10],AlariodelRio_Sol_Sostenido.xml,34,3 1/4
203,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,34,3 1/2
203.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,34,3 3/4
207,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,35,2 1/2
207.5,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,35,2 3/4
208,<music21.chord.Chord A#2>,[0],[10],AlariodelRio_Sol_Sostenido.xml,35,3
208.5,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,35,3 1/4
209,<music21.chord.Chord D#3 G#5>,"[0, 5]","[3, 8]",AlariodelRio_Sol_Sostenido.xml,35,3 1/2
209.5,<music21.chord.Chord D#3 G#5>,"[0, 5]","[3, 8]",AlariodelRio_Sol_Sostenido.xml,35,3 3/4
210,<music21.chord.Chord B2 G#5>,"[0, 3]","[8, 11]",AlariodelRio_Sol_Sostenido.xml,36,1
210.5,<music21.chord.Chord C#3 G#5>,"[0, -7]","[8, 1]",AlariodelRio_Sol_Sostenido.xml,36,1 1/4
211,<music21.chord.Chord G#2 G#5>,[0],[8],AlariodelRio_Sol_Sostenido.xml,36,1 1/2
211.5,<music21.chord.Chord F#3 G#5>,"[0, 2]","[6, 8]",AlariodelRio_Sol_Sostenido.xml,36,1 3/4
212,<music21.chord.Chord G#5>,[0],[8],AlariodelRio_Sol_Sostenido.xml,36,2
213,<music21.chord.Chord G#5>,[0],[8],AlariodelRio_Sol_Sostenido.xml,36,2 1/2
214,<music21.chord.Chord B2 G#5>,"[0, 3]","[8, 11]",AlariodelRio_Sol_Sostenido.xml,36,3
214.5,<music21.chord.Chord F#3 G#5>,"[0, 2]","[6, 8]",AlariodelRio_Sol_Sostenido.xml,36,3 1/4
215,<music21.chord.Chord G#2 G#5>,[0],[8],AlariodelRio_Sol_Sostenido.xml,36,3 1/2
215.5,<music21.chord.Chord G#3 G#5>,[0],[8],AlariodelRio_Sol_Sostenido.xml,36,3 3/4
216,<music21.chord.Chord B2 G#5>,"[0, 3]","[8, 11]",AlariodelRio_Sol_Sostenido.xml,37,1
216.5,<music21.chord.Chord G#2 G#5>,[0],[8],AlariodelRio_Sol_Sostenido.xml,37,1 1/4
217,<music21.chord.Chord A#2 G#5>,"[0, 2]","[8, 10]",AlariodelRio_Sol_Sostenido.xml,37,1 1/2
217.5,<music21.chord.Chord A#3 G#5>,"[0, 2]","[8, 10]",AlariodelRio_Sol_Sostenido.xml,37,1 3/4
218,<music21.chord.Chord D#3 G#5>,"[0, 5]","[3, 8]",AlariodelRio_Sol_Sostenido.xml,37,2
218.5,<music21.chord.Chord G#3 G#5>,[0],[8],AlariodelRio_Sol_Sostenido.xml,37,2 1/4
219,<music21.chord.Chord A#3 G#5>,"[0, 2]","[8, 10]",AlariodelRio_Sol_Sostenido.xml,37,2 1/2
219.5,<music21.chord.Chord E3 G#5>,"[0, 4]","[4, 8]",AlariodelRio_Sol_Sostenido.xml,37,2 3/4
220,<music21.chord.Chord A#2 G#5>,"[0, 2]","[8, 10]",AlariodelRio_Sol_Sostenido.xml,37,3
220.5,<music21.chord.Chord A#3 G#5>,"[0, 2]","[8, 10]",AlariodelRio_Sol_Sostenido.xml,37,3 1/4
221,<music21.chord.Chord D#3 G#5>,"[0, 5]","[3, 8]",AlariodelRio_Sol_Sostenido.xml,37,3 1/2
221.5,<music21.chord.Chord G#3 G#5>,[0],[8],AlariodelRio_Sol_Sostenido.xml,37,3 3/4
222,<music21.chord.Chord A#3 G#5>,"[0, 2]","[8, 10]",AlariodelRio_Sol_Sostenido.xml,38,1
222.5,<music21.chord.Chord E3 G#5>,"[0, 4]","[4, 8]",AlariodelRio_Sol_Sostenido.xml,38,1 1/4
223,<music21.chord.Chord A#2 G#5>,"[0, 2]","[8, 10]",AlariodelRio_Sol_Sostenido.xml,38,1 1/2
223.5,<music21.chord.Chord A#3 G#5>,"[0, 2]","[8, 10]",AlariodelRio_Sol_Sostenido.xml,38,1 3/4
224,<music21.chord.Chord D#3 G#5>,"[0, 5]","[3, 8]",AlariodelRio_Sol_Sostenido.xml,38,2
224.5,<music21.chord.Chord G#3 G#5>,[0],[8],AlariodelRio_Sol_Sostenido.xml,38,2 1/4
225,<music21.chord.Chord A#3 A#5>,[0],[10],AlariodelRio_Sol_Sostenido.xml,38,2 1/2
225.5,<music21.chord.Chord E3 A#5>,"[0, 6]","[4, 10]",AlariodelRio_Sol_Sostenido.xml,38,2 3/4
226,<music21.chord.Chord E3 A#5>,"[0, 6]","[4, 10]",AlariodelRio_Sol_Sostenido.xml,38,3
226.5,<music21.chord.Chord F#3 A#5>,"[0, 4]","[6, 10]",AlariodelRio_Sol_Sostenido.xml,38,3 1/4
227,<music21.chord.Chord A#2 A#5>,[0],[10],AlariodelRio_Sol_Sostenido.xml,38,3 1/2
227.5,<music21.chord.Chord B2 A#5>,"[0, 1]","[10, 11]",AlariodelRio_Sol_Sostenido.xml,38,3 3/4
228,<music21.chord.Chord D#3 A#5>,"[0, -7]","[10, 3]",AlariodelRio_Sol_Sostenido.xml,39,1
228.5,<music21.chord.Chord D#3 A#5>,"[0, -7]","[10, 3]",AlariodelRio_Sol_Sostenido.xml,39,1 1/4
229,<music21.chord.Chord B2 A#5>,"[0, 1]","[10, 11]",AlariodelRio_Sol_Sostenido.xml,39,1 1/2
229.5,<music21.chord.Chord C#3 A#5>,"[0, -9]","[10, 1]",AlariodelRio_Sol_Sostenido.xml,39,1 3/4
230,<music21.chord.Chord G#2 A#5>,"[0, 2]","[8, 10]",AlariodelRio_Sol_Sostenido.xml,39,2
230.5,<music21.chord.Chord F#3 A#5>,"[0, 4]","[6, 10]",AlariodelRio_Sol_Sostenido.xml,39,2 1/4
231,<music21.chord.Chord A#5>,[0],[10],AlariodelRio_Sol_Sostenido.xml,39,2 1/2
232,<music21.chord.Chord A#5>,[0],[10],AlariodelRio_Sol_Sostenido.xml,39,3
233,<music21.chord.Chord B2 A#5>,"[0, 1]","[10, 11]",AlariodelRio_Sol_Sostenido.xml,39,3 1/2
233.5,<music21.chord.Chord F#3 A#5>,"[0, 4]","[6, 10]",AlariodelRio_Sol_Sostenido.xml,39,3 3/4
234,<music21.chord.Chord G#2 A#5>,"[0, 2]","[8, 10]",AlariodelRio_Sol_Sostenido.xml,40,1
234.5,<music21.chord.Chord G#3 A#5>,"[0, 2]","[8, 10]",AlariodelRio_Sol_Sostenido.xml,40,1 1/4
235,<music21.chord.Chord B2 A#5>,"[0, 1]","[10, 11]",AlariodelRio_Sol_Sostenido.xml,40,1 1/2
235.5,<music21.chord.Chord G#2 A#5>,"[0, 2]","[8, 10]",AlariodelRio_Sol_Sostenido.xml,40,1 3/4
236,<music21.chord.Chord A#2 A#5>,[0],[10],AlariodelRio_Sol_Sostenido.xml,40,2
236.5,<music21.chord.Chord A#3 A#5>,[0],[10],AlariodelRio_Sol_Sostenido.xml,40,2 1/4
237,<music21.chord.Chord D#3 A#5>,"[0, -7]","[10, 3]",AlariodelRio_Sol_Sostenido.xml,40,2 1/2
237.5,<music21.chord.Chord G#3 A#5>,"[0, 2]","[8, 10]",AlariodelRio_Sol_Sostenido.xml,40,2 3/4
238,<music21.chord.Chord A#3 A#5>,[0],[10],AlariodelRio_Sol_Sostenido.xml,40,3
238.5,<music21.chord.Chord E3 A#5>,"[0, 6]","[4, 10]",AlariodelRio_Sol_Sostenido.xml,40,3 1/4
239,<music21.chord.Chord A#2 A#5>,[0],[10],AlariodelRio_Sol_Sostenido.xml,40,3 1/2
239.5,<music21.chord.Chord A#3 A#5>,[0],[10],AlariodelRio_Sol_Sostenido.xml,40,3 3/4
240,<music21.chord.Chord D#3 A#5>,"[0, -7]","[10, 3]",AlariodelRio_Sol_Sostenido.xml,41,1
240.5,<music21.chord.Chord G#3 A#5>,"[0, 2]","[8, 10]",AlariodelRio_Sol_Sostenido.xml,41,1 1/4
241,<music21.chord.Chord A#3 A#5>,[0],[10],AlariodelRio_Sol_Sostenido.xml,41,1 1/2
241.5,<music21.chord.Chord E3 A#5>,"[0, 6]","[4, 10]",AlariodelRio_Sol_Sostenido.xml,41,1 3/4
242,<music21.chord.Chord A#2 A#5>,[0],[10],AlariodelRio_Sol_Sostenido.xml,41,2
242.5,<music21.chord.Chord A#3 A#5>,[0],[10],AlariodelRio_Sol_Sostenido.xml,41,2 1/4
243,<music21.chord.Chord D#3 E5>,"[0, 1]","[3, 4]",AlariodelRio_Sol_Sostenido.xml,41,2 1/2
243.5,<music21.chord.Chord G#3 E5>,"[0, 4]","[4, 8]",AlariodelRio_Sol_Sostenido.xml,41,2 3/4
244,<music21.chord.Chord A#3 E5>,"[0, 6]","[4, 10]",AlariodelRio_Sol_Sostenido.xml,41,3
244.5,<music21.chord.Chord E3 E5>,[0],[4],AlariodelRio_Sol_Sostenido.xml,41,3 1/4
245,<music21.chord.Chord E3 E5>,[0],[4],AlariodelRio_Sol_Sostenido.xml,41,3 1/2
245.5,<music21.chord.Chord F#3 E5>,"[0, 2]","[4, 6]",AlariodelRio_Sol_Sostenido.xml,41,3 3/4
246,<music21.chord.Chord A#2 E5>,"[0, 6]","[4, 10]",AlariodelRio_Sol_Sostenido.xml,42,1
246.5,<music21.chord.Chord B2 E5>,"[0, -7]","[11, 4]",AlariodelRio_Sol_Sostenido.xml,42,1 1/4
247,<music21.chord.Chord D#3 E5>,"[0, 1]","[3, 4]",AlariodelRio_Sol_Sostenido.xml,42,1 1/2
247.5,<music21.chord.Chord D#3 E5>,"[0, 1]","[3, 4]",AlariodelRio_Sol_Sostenido.xml,42,1 3/4
248,<music21.chord.Chord B2 E5>,"[0, -7]","[11, 4]",AlariodelRio_Sol_Sostenido.xml,42,2
248.5,<music21.chord.Chord C#3 E5>,"[0, 3]","[1, 4]",AlariodelRio_Sol_Sostenido.xml,42,2 1/4
249,<music21.chord.Chord G#2 E5>,"[0, 4]","[4, 8]",AlariodelRio_Sol_Sostenido.xml,42,2 1/2
249.5,<music21.chord.Chord F#3 E5>,"[0, 2]","[4, 6]",AlariodelRio_Sol_Sostenido.xml,42,2 3/4
250,<music21.chord.Chord E5>,[0],[4],AlariodelRio_Sol_Sostenido.xml,42,3
251,<music21.chord.Chord E5>,[0],[4],AlariodelRio_Sol_Sostenido.xml,42,3 1/2
252,<music21.chord.Chord B2 E5>,"[0, -7]","[11, 4]",AlariodelRio_Sol_Sostenido.xml,43,1
252.5,<music21.chord.Chord F#3 E5>,"[0, 2]","[4, 6]",AlariodelRio_Sol_Sostenido.xml,43,1 1/4
253,<music21.chord.Chord G#2 E5>,"[0, 4]","[4, 8]",AlariodelRio_Sol_Sostenido.xml,43,1 1/2
253.5,<music21.chord.Chord G#3 E5>,"[0, 4]","[4, 8]",AlariodelRio_Sol_Sostenido.xml,43,1 3/4
254,<music21.chord.Chord B2 E5>,"[0, -7]","[11, 4]",AlariodelRio_Sol_Sostenido.xml,43,2
254.5,<music21.chord.Chord G#2 E5>,"[0, 4]","[4, 8]",AlariodelRio_Sol_Sostenido.xml,43,2 1/4
255,<music21.chord.Chord A#2>,[0],[10],AlariodelRio_Sol_Sostenido.xml,43,2 1/2
255.5,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,43,2 3/4
256,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,43,3
256.5,<music21.chord.Chord G#3>,[0],[8],AlariodelRio_Sol_Sostenido.xml,43,3 1/4
257,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,43,3 1/2
257.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,43,3 3/4
258,<music21.chord.Chord A#2>,[0],[10],AlariodelRio_Sol_Sostenido.xml,44,1
258.5,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,44,1 1/4
259,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,44,1 1/2
259.5,<music21.chord.Chord G#3>,[0],[8],AlariodelRio_Sol_Sostenido.xml,44,1 3/4
260,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,44,2
260.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,44,2 1/4
261,<music21.chord.Chord A#2>,[0],[10],AlariodelRio_Sol_Sostenido.xml,44,2 1/2
261.5,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,44,2 3/4
262,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,44,3
262.5,<music21.chord.Chord G#3>,[0],[8],AlariodelRio_Sol_Sostenido.xml,44,3 1/4
263,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,44,3 1/2
263.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,44,3 3/4
267,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,45,2 1/2
267.5,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,45,2 3/4
268,<music21.chord.Chord G#2>,[0],[8],AlariodelRio_Sol_Sostenido.xml,45,3
268.5,<music21.chord.Chord G#3>,[0],[8],AlariodelRio_Sol_Sostenido.xml,45,3 1/4
269,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,45,3 1/2
269.5,<music21.chord.Chord G#2>,[0],[8],AlariodelRio_Sol_Sostenido.xml,45,3 3/4
270,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,46,1
270.5,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,46,1 1/4
271,<music21.chord.Chord G#2>,[0],[8],AlariodelRio_Sol_Sostenido.xml,46,1 1/2
271.5,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,46,1 3/4
274,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,46,3
274.5,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,46,3 1/4
275,<music21.chord.Chord A#2>,[0],[10],AlariodelRio_Sol_Sostenido.xml,46,3 1/2
275.5,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,46,3 3/4
276,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,47,1
276.5,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,47,1 1/4
277,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,47,1 1/2
277.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,47,1 3/4
278,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,47,2
280.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,47,3 1/4
281,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,47,3 1/2
281.5,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,47,3 3/4
282,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,48,1
282.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,48,1 1/4
283,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,48,1 1/2
285.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,48,2 3/4
286,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,48,3
286.5,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,48,3 1/4
287,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,48,3 1/2
287.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,48,3 3/4
288,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,49,1
290.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,49,2 1/4
291,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,49,2 1/2
291.5,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,49,2 3/4
292,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,49,3
292.5,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,49,3 1/4
293,<music21.chord.Chord G#2>,[0],[8],AlariodelRio_Sol_Sostenido.xml,49,3 1/2
293.5,<music21.chord.Chord G#3>,[0],[8],AlariodelRio_Sol_Sostenido.xml,49,3 3/4
294,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,50,1
294.5,<music21.chord.Chord G#2>,[0],[8],AlariodelRio_Sol_Sostenido.xml,50,1 1/4
295,<music21.chord.Chord B2 E5>,"[0, -7]","[11, 4]",AlariodelRio_Sol_Sostenido.xml,50,1 1/2
295.5,<music21.chord.Chord C#3 E5>,"[0, 3]","[1, 4]",AlariodelRio_Sol_Sostenido.xml,50,1 3/4
296,<music21.chord.Chord G#2 E5>,"[0, 4]","[4, 8]",AlariodelRio_Sol_Sostenido.xml,50,2
296.5,<music21.chord.Chord F#3 E5>,"[0, 2]","[4, 6]",AlariodelRio_Sol_Sostenido.xml,50,2 1/4
297,<music21.chord.Chord E5>,[0],[4],AlariodelRio_Sol_Sostenido.xml,50,2 1/2
298,<music21.chord.Chord E5>,[0],[4],AlariodelRio_Sol_Sostenido.xml,50,3
299,<music21.chord.Chord E3 E5>,[0],[4],AlariodelRio_Sol_Sostenido.xml,50,3 1/2
299.5,<music21.chord.Chord F#3 E5>,"[0, 2]","[4, 6]",AlariodelRio_Sol_Sostenido.xml,50,3 3/4
300,<music21.chord.Chord A#2 E5>,"[0, 6]","[4, 10]",AlariodelRio_Sol_Sostenido.xml,51,1
300.5,<music21.chord.Chord B2 E5>,"[0, -7]","[11, 4]",AlariodelRio_Sol_Sostenido.xml,51,1 1/4
301,<music21.chord.Chord D#3 E5>,"[0, 1]","[3, 4]",AlariodelRio_Sol_Sostenido.xml,51,1 1/2
301.5,<music21.chord.Chord D#3 E5>,"[0, 1]","[3, 4]",AlariodelRio_Sol_Sostenido.xml,51,1 3/4
302,<music21.chord.Chord F#3 E5>,"[0, 2]","[4, 6]",AlariodelRio_Sol_Sostenido.xml,51,2
302.5,<music21.chord.Chord E3 E5>,[0],[4],AlariodelRio_Sol_Sostenido.xml,51,2 1/4
303,<music21.chord.Chord E3 E5>,[0],[4],AlariodelRio_Sol_Sostenido.xml,51,2 1/2
303.5,<music21.chord.Chord E5>,[0],[4],AlariodelRio_Sol_Sostenido.xml,51,2 3/4
304,<music21.chord.Chord E5>,[0],[4],AlariodelRio_Sol_Sostenido.xml,51,3
305,<music21.chord.Chord E5>,[0],[4],AlariodelRio_Sol_Sostenido.xml,51,3 1/2
305.5,<music21.chord.Chord E3 E5>,[0],[4],AlariodelRio_Sol_Sostenido.xml,51,3 3/4
306,<music21.chord.Chord C#3 E5>,"[0, 3]","[1, 4]",AlariodelRio_Sol_Sostenido.xml,52,1
306.5,<music21.chord.Chord D#3 E5>,"[0, 1]","[3, 4]",AlariodelRio_Sol_Sostenido.xml,52,1 1/4
307,<music21.chord.Chord F#3 C#5>,"[0, 5]","[1, 6]",AlariodelRio_Sol_Sostenido.xml,52,1 1/2
307.5,<music21.chord.Chord E3 C#5>,"[0, 3]","[1, 4]",AlariodelRio_Sol_Sostenido.xml,52,1 3/4
308,<music21.chord.Chord E3 C#5>,"[0, 3]","[1, 4]",AlariodelRio_Sol_Sostenido.xml,52,2
308.5,<music21.chord.Chord C#5>,[0],[1],AlariodelRio_Sol_Sostenido.xml,52,2 1/4
309,<music21.chord.Chord C#5>,[0],[1],AlariodelRio_Sol_Sostenido.xml,52,2 1/2
310,<music21.chord.Chord C#5>,[0],[1],AlariodelRio_Sol_Sostenido.xml,52,3
310.5,<music21.chord.Chord E3 C#5>,"[0, 3]","[1, 4]",AlariodelRio_Sol_Sostenido.xml,52,3 1/4
311,<music21.chord.Chord C#3 C#5>,[0],[1],AlariodelRio_Sol_Sostenido.xml,52,3 1/2
311.5,<music21.chord.Chord D#3 C#5>,"[0, 2]","[1, 3]",AlariodelRio_Sol_Sostenido.xml,52,3 3/4
312,<music21.chord.Chord F#3 C#5>,"[0, 5]","[1, 6]",AlariodelRio_Sol_Sostenido.xml,53,1
312.5,<music21.chord.Chord E3 C#5>,"[0, 3]","[1, 4]",AlariodelRio_Sol_Sostenido.xml,53,1 1/4
313,<music21.chord.Chord E3 C#5>,"[0, 3]","[1, 4]",AlariodelRio_Sol_Sostenido.xml,53,1 1/2
313.5,<music21.chord.Chord C#5>,[0],[1],AlariodelRio_Sol_Sostenido.xml,53,1 3/4
314,<music21.chord.Chord C#5>,[0],[1],AlariodelRio_Sol_Sostenido.xml,53,2
