offset,Chord,NormalForm,PCsinNormalForm,file,Composer,MeasureNumber,MeasureCount
121.75,<music21.chord.Chord G#3>,[0],[8],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
122.0,<music21.chord.Chord E-4 A4 C#5 F#3>,"[0, 2, 5, 8]","[1, 3, 6, 9]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
122.75,<music21.chord.Chord F#3>,[0],[6],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
123.0,<music21.chord.Chord E-4 A4 C#5 F#3>,"[0, 2, 5, 8]","[1, 3, 6, 9]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
123.5,<music21.chord.Chord E-4 A4 C#5 G#3>,"[0, 1, 5, 7]","[8, 9, 1, 3]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
123.75,<music21.chord.Chord G#3>,[0],[8],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
124.0,<music21.chord.Chord E-4 A4 C#5 F#3>,"[0, 2, 5, 8]","[1, 3, 6, 9]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
124.75,<music21.chord.Chord F#3>,[0],[6],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
125.0,<music21.chord.Chord E-4 A4 C#5 F#3>,"[0, 2, 5, 8]","[1, 3, 6, 9]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
125.5,<music21.chord.Chord E-4 A4 C#5 F3>,"[0, 2, 4, 8]","[1, 3, 5, 9]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
125.75,<music21.chord.Chord F3>,[0],[5],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
126.0,<music21.chord.Chord E-3>,[0],[3],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
127.0,<music21.chord.Chord A3 C4 F4 E-3>,"[0, 3, 6, 8]","[9, 0, 3, 5]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
127.125,<music21.chord.Chord E-3>,[0],[3],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
128.0,<music21.chord.Chord A3 C4 F4 E-3>,"[0, 3, 6, 8]","[9, 0, 3, 5]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
128.125,<music21.chord.Chord E-3>,[0],[3],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
129.0,<music21.chord.Chord E3>,[0],[4],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
130.0,<music21.chord.Chord B-3 C#4 F#4 E3>,"[0, 3, 6, 8]","[10, 1, 4, 6]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
130.125,<music21.chord.Chord E3>,[0],[4],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
131.0,<music21.chord.Chord B-3 C#4 F#4 E3>,"[0, 3, 6, 8]","[10, 1, 4, 6]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
131.125,<music21.chord.Chord E3>,[0],[4],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
132.0,<music21.chord.Chord E-3>,[0],[3],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
133.0,<music21.chord.Chord A3 F4 C4 E-3>,"[0, 3, 6, 8]","[9, 0, 3, 5]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
133.125,<music21.chord.Chord E-3>,[0],[3],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
134.0,<music21.chord.Chord A3 C4 F4 E-3>,"[0, 3, 6, 8]","[9, 0, 3, 5]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
134.125,<music21.chord.Chord E-3>,[0],[3],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
135.0,<music21.chord.Chord E3>,[0],[4],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
136.0,<music21.chord.Chord B-3 C#4 F#4 E3>,"[0, 3, 6, 8]","[10, 1, 4, 6]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
136.125,<music21.chord.Chord E3>,[0],[4],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
137.0,<music21.chord.Chord B-3 C#4 F#4 E3>,"[0, 3, 6, 8]","[10, 1, 4, 6]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
137.125,<music21.chord.Chord E3>,[0],[4],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
138.0,<music21.chord.Chord A3>,[0],[9],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
139.0,<music21.chord.Chord E-4 A4 C#5 A3>,"[0, 4, 6]","[9, 1, 3]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
