offset,Chord,NormalForm,PCsinNormalForm,file,Composer,MeasureNumber,MeasureCount
58.5,<music21.chord.Chord F#5 F4>,"[0, 1]","[5, 6]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,30,1.5
59,<music21.chord.Chord F5 F#5>,"[0, 1]","[5, 6]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,30,2
60,<music21.chord.Chord G#5>,[0],[8],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,31,1
61,<music21.chord.Chord F5 G#5>,"[0, 3]","[5, 8]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,31,2
61.5,<music21.chord.Chord B-5 F5>,"[0, 5]","[5, 10]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,31,2.5
62,<music21.chord.Chord E-5 C4 B-5>,"[0, 2, 5]","[10, 0, 3]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,32,1
63,<music21.chord.Chord C6 C4>,[0],[0],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,32,2
64,<music21.chord.Chord D6 B3>,"[0, 3]","[11, 2]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,33,1
64.5,<music21.chord.Chord E4 D6>,"[0, 2]","[2, 4]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,33,1.5
65,<music21.chord.Chord D5>,[0],[2],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,33,2
66,<music21.chord.Chord E6 A4>,"[0, 5]","[4, 9]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,34,1
66.5,<music21.chord.Chord E6>,[0],[4],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,34,1.5
67,<music21.chord.Chord F4>,[0],[5],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,34,2
68,<music21.chord.Chord D6>,[0],[2],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,35,1
68.5,<music21.chord.Chord C#4 D6>,"[0, 1]","[1, 2]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,35,1.5
70,<music21.chord.Chord A5 E-4>,"[0, 6]","[3, 9]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,36,1
70.5,<music21.chord.Chord E-4>,[0],[3],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,36,1.5
71,<music21.chord.Chord A5 E-4>,"[0, 6]","[3, 9]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,36,2
71.5,<music21.chord.Chord F4>,[0],[5],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,36,2.5
72,<music21.chord.Chord B-5 E-5 F4>,"[0, 2, 7]","[3, 5, 10]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,37,1
73,<music21.chord.Chord G4 B-5 E-5>,"[0, 4, 7]","[3, 7, 10]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,37,2
73.5,<music21.chord.Chord F6 G4 E-5>,"[0, 2, 4]","[3, 5, 7]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,37,2.5
74,<music21.chord.Chord F5 E6 A4>,"[0, 1, 5]","[4, 5, 9]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,38,1
74.5,<music21.chord.Chord A4>,[0],[9],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,38,1.5
75,<music21.chord.Chord G5>,[0],[7],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,38,2
76,<music21.chord.Chord G#5 B4>,"[0, 3]","[8, 11]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,39,1
76.5,<music21.chord.Chord B4>,[0],[11],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,39,1.5
77,<music21.chord.Chord E-6>,[0],[3],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,39,2
78,<music21.chord.Chord A4>,[0],[9],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,40,1
78.5,<music21.chord.Chord D5 A4>,"[0, 5]","[9, 2]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,40,1.5
78.75,<music21.chord.Chord A4>,[0],[9],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,40,1.75
80,<music21.chord.Chord F#5 G5 E4>,"[0, 2, 3]","[4, 6, 7]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,41,1
80.5,<music21.chord.Chord F#5 G5>,"[0, 1]","[6, 7]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,41,1.5
81,<music21.chord.Chord A5 E4>,"[0, 5]","[4, 9]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,41,2
81.5,<music21.chord.Chord A5>,[0],[9],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,41,2.5
82,<music21.chord.Chord B-5 F4>,"[0, 5]","[5, 10]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,42,1
83.5,<music21.chord.Chord C5 B-5>,"[0, 2]","[10, 0]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,42,2.5
84,<music21.chord.Chord B5 C#5 B4>,"[0, 2]","[11, 1]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,43,1
84.5,<music21.chord.Chord B5 C#5>,"[0, 2]","[11, 1]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,43,1.5
85,<music21.chord.Chord C#5>,[0],[1],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,43,2
86,<music21.chord.Chord C5>,[0],[0],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,44,1
86.5,<music21.chord.Chord F5 D6>,"[0, 3]","[2, 5]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,44,1.5
87,<music21.chord.Chord B-4>,[0],[10],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,44,2
88,<music21.chord.Chord G5>,[0],[7],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,45,1
89,<music21.chord.Chord F#5>,[0],[6],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,45,2
89.5,<music21.chord.Chord A5 F#5>,"[0, 3]","[6, 9]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,45,2.5
