offset,Chord,NormalForm,PCsInNormalForm,file,Composer,measureNumber,beatNumber
1.0,<music21.chord.Chord G4>,[0],[7],Takemitsu_Romance.mxl,Takemitsu,1,3
1.5,<music21.chord.Chord G3 D4>,"[0, 5]","[2, 7]",Takemitsu_Romance.mxl,Takemitsu,2,1
2.5,<music21.chord.Chord G3 G4>,[0],[7],Takemitsu_Romance.mxl,Takemitsu,2,3
3.0,<music21.chord.Chord G3 D4 E-4 G4 E-5>,"[0, 1, 5]","[2, 3, 7]",Takemitsu_Romance.mxl,Takemitsu,3,1
4.0,<music21.chord.Chord G3 D4 E-4 A4>,"[0, 1, 5, 7]","[2, 3, 7, 9]",Takemitsu_Romance.mxl,Takemitsu,3,3
4.5,<music21.chord.Chord A3 D4 E-4 A4 D5>,"[0, 5, 6]","[9, 2, 3]",Takemitsu_Romance.mxl,Takemitsu,4,1
5.5,<music21.chord.Chord A3 D4 E-4 G4>,"[0, 1, 5, 7]","[2, 3, 7, 9]",Takemitsu_Romance.mxl,Takemitsu,4,3
6.0,<music21.chord.Chord C3 G3 C#4 D4 G4 C5>,"[0, 1, 2, 7]","[0, 1, 2, 7]",Takemitsu_Romance.mxl,Takemitsu,5,1
7.0,<music21.chord.Chord D2 D4 G4 C5>,"[0, 2, 7]","[0, 2, 7]",Takemitsu_Romance.mxl,Takemitsu,5,3
7.25,<music21.chord.Chord G2 D4 G4 C5>,"[0, 2, 7]","[0, 2, 7]",Takemitsu_Romance.mxl,Takemitsu,5,3 1/2
7.5,<music21.chord.Chord G#3 A3 D4 D5>,"[0, 1, 6]","[8, 9, 2]",Takemitsu_Romance.mxl,Takemitsu,6,1
8.5,<music21.chord.Chord G#3 A3 A4>,"[0, 1]","[8, 9]",Takemitsu_Romance.mxl,Takemitsu,6,3
9.0,<music21.chord.Chord D3 E-3 G3 G4 D5 G5>,"[0, 1, 5]","[2, 3, 7]",Takemitsu_Romance.mxl,Takemitsu,7,1
10.0,<music21.chord.Chord D3 E-3 G3 A4>,"[0, 1, 5, 7]","[2, 3, 7, 9]",Takemitsu_Romance.mxl,Takemitsu,7,3
10.5,<music21.chord.Chord D3 E-3 A3 C4 D4 G4 E-5>,"[0, 2, 5, 7, 8]","[7, 9, 0, 2, 3]",Takemitsu_Romance.mxl,Takemitsu,8,1
11.5,<music21.chord.Chord D3 E-3 A3 C4 E-4>,"[0, 3, 5, 6]","[9, 0, 2, 3]",Takemitsu_Romance.mxl,Takemitsu,8,3
12.0,<music21.chord.Chord E-3 G3 A3 D4 E-4 C5>,"[0, 2, 5, 7, 8]","[7, 9, 0, 2, 3]",Takemitsu_Romance.mxl,Takemitsu,9,1
13.0,<music21.chord.Chord E-3 G3 A3 A4>,"[0, 4, 6]","[3, 7, 9]",Takemitsu_Romance.mxl,Takemitsu,9,3
13.5,<music21.chord.Chord D3 E-3 G3 G4 D5 G5>,"[0, 1, 5]","[2, 3, 7]",Takemitsu_Romance.mxl,Takemitsu,10,1
14.5,<music21.chord.Chord D3 E-3 G3 B-4>,"[0, 1, 5, 8]","[2, 3, 7, 10]",Takemitsu_Romance.mxl,Takemitsu,10,3
15.0,<music21.chord.Chord D3 D5>,[0],[2],Takemitsu_Romance.mxl,Takemitsu,11,1
15.25,<music21.chord.Chord E-3 D5>,"[0, 1]","[2, 3]",Takemitsu_Romance.mxl,Takemitsu,11,1 1/2
15.5,<music21.chord.Chord A3 C5>,"[0, 3]","[9, 0]",Takemitsu_Romance.mxl,Takemitsu,11,2
15.75,<music21.chord.Chord C4 C5>,[0],[0],Takemitsu_Romance.mxl,Takemitsu,11,2 1/2
16.0,<music21.chord.Chord C4 E-4>,"[0, 3]","[0, 3]",Takemitsu_Romance.mxl,Takemitsu,11,3
16.5,<music21.chord.Chord E-3 D4 A4>,"[0, 5, 6]","[9, 2, 3]",Takemitsu_Romance.mxl,Takemitsu,12,1
16.75,<music21.chord.Chord A3 D4 A4>,"[0, 5]","[9, 2]",Takemitsu_Romance.mxl,Takemitsu,12,1 1/2
17.0,<music21.chord.Chord A3 D4 A4>,"[0, 5]","[9, 2]",Takemitsu_Romance.mxl,Takemitsu,12,2
17.25,<music21.chord.Chord G3 D4 A4>,"[0, 2, 7]","[7, 9, 2]",Takemitsu_Romance.mxl,Takemitsu,12,2 1/2
17.5,<music21.chord.Chord G3 D4>,"[0, 5]","[2, 7]",Takemitsu_Romance.mxl,Takemitsu,12,3
18.0,<music21.chord.Chord G3 D4 A4>,"[0, 2, 7]","[7, 9, 2]",Takemitsu_Romance.mxl,Takemitsu,13,1
19.0,<music21.chord.Chord G3 C4>,"[0, 5]","[7, 0]",Takemitsu_Romance.mxl,Takemitsu,13,3
19.5,<music21.chord.Chord E-3 A3 C4 B-4>,"[0, 1, 3, 6]","[9, 10, 0, 3]",Takemitsu_Romance.mxl,Takemitsu,14,1
20.0,<music21.chord.Chord G3 C4 B-4>,"[0, 3, 5]","[7, 10, 0]",Takemitsu_Romance.mxl,Takemitsu,14,2
20.5,<music21.chord.Chord D3 B-3>,"[0, 4]","[10, 2]",Takemitsu_Romance.mxl,Takemitsu,14,3
21.0,<music21.chord.Chord C3 D3 A3 D4 G4 D5>,"[0, 2, 5, 7]","[7, 9, 0, 2]",Takemitsu_Romance.mxl,Takemitsu,15,1
22.0,<music21.chord.Chord D3 E-3 G3 A4 E-5>,"[0, 1, 5, 7]","[2, 3, 7, 9]",Takemitsu_Romance.mxl,Takemitsu,15,3
22.5,<music21.chord.Chord D3 E-3 A3 G4 D5 G5>,"[0, 1, 5, 7]","[2, 3, 7, 9]",Takemitsu_Romance.mxl,Takemitsu,16,1
23.25,<music21.chord.Chord E-2 G4 D5 G5>,"[0, 1, 5]","[2, 3, 7]",Takemitsu_Romance.mxl,Takemitsu,16,2 1/2
23.333333333333300,<music21.chord.Chord A2 G4 D5 G5>,"[0, 2, 7]","[7, 9, 2]",Takemitsu_Romance.mxl,Takemitsu,16,2 2/3
23.416666666666700,<music21.chord.Chord E-3 G4 D5 G5>,"[0, 1, 5]","[2, 3, 7]",Takemitsu_Romance.mxl,Takemitsu,16,2 5/6
23.5,<music21.chord.Chord G3 A5 D6 G#6 A6>,"[0, 1, 2, 7]","[7, 8, 9, 2]",Takemitsu_Romance.mxl,Takemitsu,16,3
23.75,<music21.chord.Chord G3 E-5 G5>,"[0, 4]","[3, 7]",Takemitsu_Romance.mxl,Takemitsu,16,3 1/2
24.0,<music21.chord.Chord G3 E-5 G5>,"[0, 4]","[3, 7]",Takemitsu_Romance.mxl,Takemitsu,17,1
24.5,<music21.chord.Chord D4 G4 C#5 D5>,"[0, 1, 6]","[1, 2, 7]",Takemitsu_Romance.mxl,Takemitsu,17,2
24.75,<music21.chord.Chord C2 G4 C#5 D5>,"[0, 1, 2, 7]","[0, 1, 2, 7]",Takemitsu_Romance.mxl,Takemitsu,17,2 1/2
24.833333333333300,<music21.chord.Chord G2 G4 C#5 D5>,"[0, 1, 6]","[1, 2, 7]",Takemitsu_Romance.mxl,Takemitsu,17,2 2/3
24.916666666666700,<music21.chord.Chord C3 G4 C#5 D5>,"[0, 1, 2, 7]","[0, 1, 2, 7]",Takemitsu_Romance.mxl,Takemitsu,17,2 5/6
25.0,<music21.chord.Chord A3 C4 G4 A-4 C5>,"[0, 1, 2, 5]","[7, 8, 9, 0]",Takemitsu_Romance.mxl,Takemitsu,17,3
25.5,<music21.chord.Chord A3 E-4 D5>,"[0, 5, 6]","[9, 2, 3]",Takemitsu_Romance.mxl,Takemitsu,18,1
26.0,<music21.chord.Chord A3 A4 D5 G#5 A5>,"[0, 1, 6]","[8, 9, 2]",Takemitsu_Romance.mxl,Takemitsu,18,2
26.5,<music21.chord.Chord G1 D2 G2 C6 G6 A-6 C7>,"[0, 1, 5, 7]","[7, 8, 0, 2]",Takemitsu_Romance.mxl,Takemitsu,18,3
27.0,<music21.chord.Chord A3 E-4 D5>,"[0, 5, 6]","[9, 2, 3]",Takemitsu_Romance.mxl,Takemitsu,19,1
27.5,<music21.chord.Chord E-3 F3 A3 E-5 G5 D6>,"[0, 1, 3, 5, 7]","[2, 3, 5, 7, 9]",Takemitsu_Romance.mxl,Takemitsu,19,2
28.25,<music21.chord.Chord E-2 E-5 G5 D6>,"[0, 1, 5]","[2, 3, 7]",Takemitsu_Romance.mxl,Takemitsu,19,3 1/2
28.333333333333300,<music21.chord.Chord A2 E-5 G5 D6>,"[0, 1, 5, 7]","[2, 3, 7, 9]",Takemitsu_Romance.mxl,Takemitsu,19,3 2/3
28.416666666666700,<music21.chord.Chord E-3 E-5 G5 D6>,"[0, 1, 5]","[2, 3, 7]",Takemitsu_Romance.mxl,Takemitsu,19,3 5/6
28.5,<music21.chord.Chord G3 A5 D6 G#6 A6>,"[0, 1, 2, 7]","[7, 8, 9, 2]",Takemitsu_Romance.mxl,Takemitsu,20,1
29.5,<music21.chord.Chord G3 G4 E-5 G5>,"[0, 4]","[3, 7]",Takemitsu_Romance.mxl,Takemitsu,20,3
30.0,<music21.chord.Chord G3 G4 E-5 G5>,"[0, 4]","[3, 7]",Takemitsu_Romance.mxl,Takemitsu,21,1
30.5,<music21.chord.Chord G3 D4 G4 C#5 D5>,"[0, 1, 6]","[1, 2, 7]",Takemitsu_Romance.mxl,Takemitsu,21,2
30.75,<music21.chord.Chord C#2 D4 G4 C#5 D5>,"[0, 1, 6]","[1, 2, 7]",Takemitsu_Romance.mxl,Takemitsu,21,2 1/2
30.833333333333300,<music21.chord.Chord G2 D4 G4 C#5 D5>,"[0, 1, 6]","[1, 2, 7]",Takemitsu_Romance.mxl,Takemitsu,21,2 2/3
30.916666666666700,<music21.chord.Chord C#3 D4 G4 C#5 D5>,"[0, 1, 6]","[1, 2, 7]",Takemitsu_Romance.mxl,Takemitsu,21,2 5/6
31.0,<music21.chord.Chord A3 C4 G4 A-4 C5>,"[0, 1, 2, 5]","[7, 8, 9, 0]",Takemitsu_Romance.mxl,Takemitsu,21,3
31.5,<music21.chord.Chord A3 E-4 D5>,"[0, 5, 6]","[9, 2, 3]",Takemitsu_Romance.mxl,Takemitsu,22,1
32.0,<music21.chord.Chord A3 A4 D5 G#5 A5>,"[0, 1, 6]","[8, 9, 2]",Takemitsu_Romance.mxl,Takemitsu,22,2
32.5,<music21.chord.Chord G1 D2 E-3 C5 G#5 A-5 C6>,"[0, 1, 5, 7, 8]","[7, 8, 0, 2, 3]",Takemitsu_Romance.mxl,Takemitsu,22,3
33.0,<music21.chord.Chord A3 E-4 D5>,"[0, 5, 6]","[9, 2, 3]",Takemitsu_Romance.mxl,Takemitsu,23,1
33.5,<music21.chord.Chord G3 G4 D5 G5>,"[0, 5]","[2, 7]",Takemitsu_Romance.mxl,Takemitsu,23,2
33.75,<music21.chord.Chord D4 G4 D5 G5>,"[0, 5]","[2, 7]",Takemitsu_Romance.mxl,Takemitsu,23,2 1/2
34.0,<music21.chord.Chord E-4 G4 D5 G5>,"[0, 1, 5]","[2, 3, 7]",Takemitsu_Romance.mxl,Takemitsu,23,3
34.5,<music21.chord.Chord E-4 G4 D5 G5>,"[0, 1, 5]","[2, 3, 7]",Takemitsu_Romance.mxl,Takemitsu,24,1
35.0,<music21.chord.Chord D4>,[0],[2],Takemitsu_Romance.mxl,Takemitsu,24,2
35.5,<music21.chord.Chord A3>,[0],[9],Takemitsu_Romance.mxl,Takemitsu,24,3
36.0,<music21.chord.Chord G2 A3>,"[0, 2]","[7, 9]",Takemitsu_Romance.mxl,Takemitsu,25,1
37.0,<music21.chord.Chord G2 G4>,[0],[7],Takemitsu_Romance.mxl,Takemitsu,25,3
37.5,<music21.chord.Chord D3 G3 E-4>,"[0, 1, 5]","[2, 3, 7]",Takemitsu_Romance.mxl,Takemitsu,26,1
