offset,Chord,NormalForm,PCsinNormalForm,file,Composer,Measure Number,Measure Count
77.0,<music21.chord.Chord C5 E5 G5 C6 C3 E3 G3 C4>,"[0, 4, 7]","[0, 4, 7]",Ogives No3 D minor.mid,Satie,N/A,N/A
79.0,<music21.chord.Chord A4 C5 F5 A5 A2 C3 F3 A3>,"[0, 4, 7]","[5, 9, 0]",Ogives No3 D minor.mid,Satie,N/A,N/A
79.5,<music21.chord.Chord B-4 D5 F5 B-5 B-2 D3 F3 B-3>,"[0, 4, 7]","[10, 2, 5]",Ogives No3 D minor.mid,Satie,N/A,N/A
80.0,<music21.chord.Chord G4 B-4 E-5 G5 G2 B-2 E-3 G3>,"[0, 4, 7]","[3, 7, 10]",Ogives No3 D minor.mid,Satie,N/A,N/A
80.5,<music21.chord.Chord A4 D5 F5 A5 A2 D3 F3 A3>,"[0, 3, 7]","[2, 5, 9]",Ogives No3 D minor.mid,Satie,N/A,N/A
81.0,<music21.chord.Chord C5 E5 G5 C6 C3 E3 G3 C4>,"[0, 4, 7]","[0, 4, 7]",Ogives No3 D minor.mid,Satie,N/A,N/A
83.0,<music21.chord.Chord D5 F5 B-5 D6 D3 F3 B-3 D4>,"[0, 4, 7]","[10, 2, 5]",Ogives No3 D minor.mid,Satie,N/A,N/A
84.0,<music21.chord.Chord C5 E5 G5 C6 C3 E3 G3 C4>,"[0, 4, 7]","[0, 4, 7]",Ogives No3 D minor.mid,Satie,N/A,N/A
86.0,<music21.chord.Chord A4 C5 F5 A5 A2 C3 F3 A3>,"[0, 4, 7]","[5, 9, 0]",Ogives No3 D minor.mid,Satie,N/A,N/A
86.5,<music21.chord.Chord B-4 D5 F5 B-5 B-2 D3 F3 B-3>,"[0, 4, 7]","[10, 2, 5]",Ogives No3 D minor.mid,Satie,N/A,N/A
87.0,<music21.chord.Chord C5 E5 A5 C6 C3 E3 A3 C4>,"[0, 3, 7]","[9, 0, 4]",Ogives No3 D minor.mid,Satie,N/A,N/A
87.5,<music21.chord.Chord D5 F5 A5 D6 D3 F3 A3 D4>,"[0, 3, 7]","[2, 5, 9]",Ogives No3 D minor.mid,Satie,N/A,N/A
88.0,<music21.chord.Chord E5 A5 C6 E6 E3 A3 C4 E4>,"[0, 3, 7]","[9, 0, 4]",Ogives No3 D minor.mid,Satie,N/A,N/A
90.0,<music21.chord.Chord D5 F5 A5 D6 D3 F3 A3 D4>,"[0, 3, 7]","[2, 5, 9]",Ogives No3 D minor.mid,Satie,N/A,N/A
91.0,<music21.chord.Chord C5 E5 A5 C6 C3 E3 A3 C4>,"[0, 3, 7]","[9, 0, 4]",Ogives No3 D minor.mid,Satie,N/A,N/A
92.0,<music21.chord.Chord D5 F5 A5 D6 D3 F3 A3 D4>,"[0, 3, 7]","[2, 5, 9]",Ogives No3 D minor.mid,Satie,N/A,N/A
