offset,Chord,Phrase Boundary,Song Beat Number,Measure Number,Measure Beat Number,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
35.5,<music21.chord.Chord G5>,1,36,12,3,[0],[7],[7],79,79,La Cloches Sonne S248 C minor.mid,Liszt,3,major,[4]_4,0.8846271502258280
36,<music21.chord.Chord G5 C5 G#4>,,37,13,1,"[0, 1, 5]","[7, 8, 0]","[7, 8, 0]",79,68,La Cloches Sonne S248 C minor.mid,Liszt,3,major,"[4, 5, 9]_5",0.8889253490534670
36.5,<music21.chord.Chord G5 C5 B-3 G#4>,,37,13,1,"[0, 1, 3, 5]","[7, 8, 10, 0]","[7, 8, 10, 0]",79,58,La Cloches Sonne S248 C minor.mid,Liszt,3,major,"[4, 5, 7, 9]_7",0.8889253490534670
36.75,<music21.chord.Chord F5 C5 G#4 B-3>,,37,13,1,"[0, 3, 5, 7]","[5, 8, 10, 0]","[5, 8, 10, 0]",77,58,La Cloches Sonne S248 C minor.mid,Liszt,3,major,"[2, 5, 7, 9]_7",0.8889253490534670
37,<music21.chord.Chord G#5 C5 G#4 B-3>,,38,13,2,"[0, 2, 4]","[8, 10, 0]","[8, 10, 0]",80,58,La Cloches Sonne S248 C minor.mid,Liszt,3,major,"[5, 7, 9]_7",0.8889253490534670
37.5,<music21.chord.Chord G5 C5 G#4>,,38,13,2,"[0, 1, 5]","[7, 8, 0]","[7, 8, 0]",79,68,La Cloches Sonne S248 C minor.mid,Liszt,3,major,"[4, 5, 9]_5",0.8889253490534670
38,<music21.chord.Chord E-5 B-4 G4>,,39,14,1,"[0, 4, 7]","[3, 7, 10]","[3, 7, 10]",75,67,La Cloches Sonne S248 C minor.mid,Liszt,3,major,"[0, 4, 7]_4",0.905257635720283
38.5,<music21.chord.Chord E-5 B-4 B-3 G4>,,39,14,1,"[0, 4, 7]","[3, 7, 10]","[3, 7, 10]",75,58,La Cloches Sonne S248 C minor.mid,Liszt,3,major,"[0, 4, 7]_7",0.905257635720283
39,<music21.chord.Chord G5 B-4 G4 B-3>,,40,14,2,"[0, 3]","[7, 10]","[7, 10]",79,58,La Cloches Sonne S248 C minor.mid,Liszt,3,major,"[4, 7]_7",0.905257635720283
39.5,<music21.chord.Chord F5 B-4 G4>,,40,14,2,"[0, 2, 5]","[5, 7, 10]","[5, 7, 10]",77,67,La Cloches Sonne S248 C minor.mid,Liszt,3,major,"[2, 4, 7]_4",0.905257635720283
40,<music21.chord.Chord D5 G#4 F4>,,41,15,1,"[0, 3, 6]","[2, 5, 8]","[2, 5, 8]",74,65,La Cloches Sonne S248 C minor.mid,Liszt,3,major,"[11, 2, 5]_2",0.9203743405275770
40.5,<music21.chord.Chord D5 G#4 B-3 F4>,,41,15,1,"[0, 3, 6, 8]","[2, 5, 8, 10]","[2, 5, 8, 10]",74,58,La Cloches Sonne S248 C minor.mid,Liszt,3,major,"[11, 2, 5, 7]_7",0.9203743405275770
41,<music21.chord.Chord F5 G#4 F4 B-3>,,42,15,2,"[0, 3, 5]","[5, 8, 10]","[5, 8, 10]",77,58,La Cloches Sonne S248 C minor.mid,Liszt,3,major,"[2, 5, 7]_7",0.9203743405275770
41.5,<music21.chord.Chord E-5 G#4 F4>,,42,15,2,"[0, 2, 5]","[3, 5, 8]","[3, 5, 8]",75,65,La Cloches Sonne S248 C minor.mid,Liszt,3,major,"[0, 2, 5]_2",0.9203743405275770
42,<music21.chord.Chord C5 G4 E-4>,,43,16,1,"[0, 3, 7]","[0, 3, 7]","[0, 3, 7]",72,63,La Cloches Sonne S248 C minor.mid,Liszt,3,major,"[9, 0, 4]_0",0.9203743405275770
42.5,<music21.chord.Chord C5 G4 B-3 E-4>,,43,16,1,"[0, 3, 5, 8]","[7, 10, 0, 3]","[7, 10, 0, 3]",72,58,La Cloches Sonne S248 C minor.mid,Liszt,3,major,"[4, 7, 9, 0]_7",0.9203743405275770
43,<music21.chord.Chord B-4 G4 E-4 B-3>,,44,16,2,"[0, 4, 7]","[3, 7, 10]","[3, 7, 10]",70,58,La Cloches Sonne S248 C minor.mid,Liszt,3,major,"[0, 4, 7]_7",0.9203743405275770
43.5,<music21.chord.Chord G5 G4 E-4>,,44,16,2,"[0, 4]","[3, 7]","[3, 7]",79,63,La Cloches Sonne S248 C minor.mid,Liszt,3,major,"[0, 4]_0",0.9203743405275770
44,<music21.chord.Chord G5 C5 G#4>,,45,17,1,"[0, 1, 5]","[7, 8, 0]","[7, 8, 0]",79,68,La Cloches Sonne S248 C minor.mid,Liszt,3,major,"[4, 5, 9]_5",0.9203743405275770
44.5,<music21.chord.Chord G5 C5 B-3 G#4>,,45,17,1,"[0, 1, 3, 5]","[7, 8, 10, 0]","[7, 8, 10, 0]",79,58,La Cloches Sonne S248 C minor.mid,Liszt,3,major,"[4, 5, 7, 9]_7",0.9203743405275770
44.75,<music21.chord.Chord F5 C5 G#4 B-3>,,45,17,1,"[0, 3, 5, 7]","[5, 8, 10, 0]","[5, 8, 10, 0]",77,58,La Cloches Sonne S248 C minor.mid,Liszt,3,major,"[2, 5, 7, 9]_7",0.9203743405275770
45,<music21.chord.Chord G#5 C5 G#4 B-3>,,46,17,2,"[0, 2, 4]","[8, 10, 0]","[8, 10, 0]",80,58,La Cloches Sonne S248 C minor.mid,Liszt,3,major,"[5, 7, 9]_7",0.9203743405275770
45.5,<music21.chord.Chord G5 C5 G#4>,,46,17,2,"[0, 1, 5]","[7, 8, 0]","[7, 8, 0]",79,68,La Cloches Sonne S248 C minor.mid,Liszt,3,major,"[4, 5, 9]_5",0.9203743405275770
