offset,Chord,Phrase Boundary,Song Beat Number,Measure Number,Measure Beat Number,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
61.5,<music21.chord.Chord C3>,,62,25,2,[0],[0],[0],48,48,La Cloches Sonne S248 C minor.mid,Liszt,5,minor,[7]_7,0.8256926333928440
62,<music21.chord.Chord G3>,,63,26,3,[0],[7],[7],55,55,La Cloches Sonne S248 C minor.mid,Liszt,5,minor,[2]_2,0.8256926333928440
62.75,<music21.chord.Chord E-3>,,63,26,3,[0],[3],[3],51,51,La Cloches Sonne S248 C minor.mid,Liszt,5,minor,[10]_10,0.8256926333928440
63,<music21.chord.Chord C3>,,64,26,1,[0],[0],[0],48,48,La Cloches Sonne S248 C minor.mid,Liszt,5,minor,[7]_7,0.8256926333928440
64,<music21.chord.Chord G#3 C4>,,65,27,2,"[0, 4]","[8, 0]","[8, 0]",60,56,La Cloches Sonne S248 C minor.mid,Liszt,5,minor,"[3, 7]_3",0.8256926333928440
64.5,<music21.chord.Chord C3>,,65,27,2,[0],[0],[0],48,48,La Cloches Sonne S248 C minor.mid,Liszt,5,minor,[7]_7,0.8256926333928440
65,<music21.chord.Chord F3>,,66,27,3,[0],[5],[5],53,53,La Cloches Sonne S248 C minor.mid,Liszt,5,minor,[0]_0,0.8256926333928440
65.75,<music21.chord.Chord E-3>,,66,27,3,[0],[3],[3],51,51,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,[3]_3,0.7547416302276340
66,<music21.chord.Chord G3>,,67,28,1,[0],[7],[7],55,55,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,[7]_7,0.7547416302276340
67,<music21.chord.Chord C4 E-4>,,68,28,2,"[0, 3]","[0, 3]","[0, 3]",63,60,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[0, 3]_0",0.7547416302276340
67.5,<music21.chord.Chord F#3>,,68,28,2,[0],[6],[6],54,54,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,[6]_6,0.7547416302276340
68,<music21.chord.Chord G3>,,69,29,3,[0],[7],[7],55,55,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,[7]_7,0.7547416302276340
68.75,<music21.chord.Chord E-3>,,69,29,3,[0],[3],[3],51,51,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,[3]_3,0.7547416302276340
69,<music21.chord.Chord C3>,,70,29,1,[0],[0],[0],48,48,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,[0]_0,0.7547416302276340
70,<music21.chord.Chord G#3 C4>,,71,30,2,"[0, 4]","[8, 0]","[8, 0]",60,56,La Cloches Sonne S248 C minor.mid,Liszt,Ambiguous,Ambiguous,Ambiguous,0.0
71,<music21.chord.Chord G#3 C4 F4 C3>,,72,30,3,"[0, 3, 7]","[5, 8, 0]","[5, 8, 0]",65,48,La Cloches Sonne S248 C minor.mid,Liszt,Ambiguous,Ambiguous,Ambiguous,0.0
71.75,<music21.chord.Chord E-4 G#3 C4 C3>,,72,30,3,"[0, 4, 7]","[8, 0, 3]","[8, 0, 3]",63,48,La Cloches Sonne S248 C minor.mid,Liszt,Ambiguous,Ambiguous,Ambiguous,0.0
72,<music21.chord.Chord G3 C4 E-4 G4 C2 C3>,,73,31,1,"[0, 3, 7]","[0, 3, 7]","[0, 3, 7]",67,36,La Cloches Sonne S248 C minor.mid,Liszt,Ambiguous,Ambiguous,Ambiguous,0.0
