measureNumber,beatNumber,offset,Chord,NormalForm,PCsInNormalForm,file,Composer
8,1 1/3,22.0,<music21.chord.Chord E4>,[0],[4],Sculthorpe_Sea_Chant.mxl,Sculthorpe
8,1 2/3,22.5,<music21.chord.Chord B2 E4>,"[0, 5]","[11, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
8,2,23.0,<music21.chord.Chord E2 E4>,[0],[4],Sculthorpe_Sea_Chant.mxl,Sculthorpe
8,2 2/3,24.0,<music21.chord.Chord B3>,[0],[11],Sculthorpe_Sea_Chant.mxl,Sculthorpe
9,1,24.5,<music21.chord.Chord E3 G3 B3 E4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
9,1 1/2,25.25,<music21.chord.Chord E3 G3 B3 F#4>,"[0, 2, 3, 7]","[4, 6, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
9,1 2/3,25.5,<music21.chord.Chord E3 G3 B3 G4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
9,2,26.0,<music21.chord.Chord E3 A3 C#4 A4>,"[0, 4, 7]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
9,2 1/2,26.75,<music21.chord.Chord E3 A3 C#4 B4>,"[0, 2, 4, 7]","[9, 11, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
9,2 2/3,27.0,<music21.chord.Chord E3 A3 C#4 A4>,"[0, 4, 7]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
10,1,27.5,<music21.chord.Chord E3 G3 B3 G4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
10,1 1/3,28.0,<music21.chord.Chord E3 G3 B3 E4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
10,2,29.0,<music21.chord.Chord E3 A3 C#4 E4>,"[0, 4, 7]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
10,2 2/3,30.0,<music21.chord.Chord E3 A3 C#4 E4>,"[0, 4, 7]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
11,1,30.5,<music21.chord.Chord E3 G3 B3 B4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
11,1 1/2,31.25,<music21.chord.Chord E3 G3 B3 A4>,"[0, 3, 5, 7]","[4, 7, 9, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
11,1 2/3,31.5,<music21.chord.Chord E3 G3 B3 B4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
11,2,32.0,<music21.chord.Chord E3 A3 C#4 E5>,"[0, 4, 7]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
11,2 1/2,32.75,<music21.chord.Chord E3 A3 C#4 D5>,"[0, 4, 5, 7]","[9, 1, 2, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
11,2 2/3,33.0,<music21.chord.Chord E3 A3 C#4 E5>,"[0, 4, 7]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
