offset,Chord,NormalForm,PCsinNormalForm,file,Phrase Boundary,Measure Number,Measure Count
16.666666666666700,<music21.chord.Chord C#5 G#3>,"[0, 5]","[8, 1]",Humoresque in B Op101No2 B major.mid,,9,1
16.75,<music21.chord.Chord C#5 G#4 G#3>,"[0, 5]","[8, 1]",Humoresque in B Op101No2 B major.mid,,9,1
16.791666666666700,<music21.chord.Chord G#3>,[0],[8],Humoresque in B Op101No2 B major.mid,,9,1
16.875,<music21.chord.Chord B4 G#3>,"[0, 3]","[8, 11]",Humoresque in B Op101No2 B major.mid,,9,1
17.0,<music21.chord.Chord B-4 B-3>,[0],[10],Humoresque in B Op101No2 B major.mid,,9,2
17.25,<music21.chord.Chord B-4 F#4 B-3>,"[0, 4]","[6, 10]",Humoresque in B Op101No2 B major.mid,,9,2
17.5,<music21.chord.Chord C#5 C#4 B-3>,"[0, 3]","[10, 1]",Humoresque in B Op101No2 B major.mid,,9,2
17.625,<music21.chord.Chord B-3>,[0],[10],Humoresque in B Op101No2 B major.mid,,9,2
17.666666666666700,<music21.chord.Chord B4 B-3>,"[0, 1]","[10, 11]",Humoresque in B Op101No2 B major.mid,,9,2
17.75,<music21.chord.Chord B4 F#4 B-3>,"[0, 4, 5]","[6, 10, 11]",Humoresque in B Op101No2 B major.mid,,9,2
17.791666666666700,<music21.chord.Chord B-3>,[0],[10],Humoresque in B Op101No2 B major.mid,,9,2
17.875,<music21.chord.Chord B-4 B-3>,[0],[10],Humoresque in B Op101No2 B major.mid,,9,2
18.0,<music21.chord.Chord G#4 E3>,"[0, 4]","[4, 8]",Humoresque in B Op101No2 B major.mid,,10,1
18.25,<music21.chord.Chord G#4 B3 E3>,"[0, 4, 7]","[4, 8, 11]",Humoresque in B Op101No2 B major.mid,,10,1
18.5,<music21.chord.Chord B4 G#3 E3>,"[0, 4, 7]","[4, 8, 11]",Humoresque in B Op101No2 B major.mid,,10,1
18.625,<music21.chord.Chord E3>,[0],[4],Humoresque in B Op101No2 B major.mid,,10,1
18.666666666666700,<music21.chord.Chord B-4 E3>,"[0, 6]","[4, 10]",Humoresque in B Op101No2 B major.mid,,10,1
18.75,<music21.chord.Chord B-4 E4 E3>,"[0, 6]","[4, 10]",Humoresque in B Op101No2 B major.mid,,10,1
18.791666666666700,<music21.chord.Chord E3>,[0],[4],Humoresque in B Op101No2 B major.mid,,10,1
18.875,<music21.chord.Chord G#4 E3>,"[0, 4]","[4, 8]",Humoresque in B Op101No2 B major.mid,,10,1
19.0,<music21.chord.Chord B-4 F#3>,"[0, 4]","[6, 10]",Humoresque in B Op101No2 B major.mid,,10,2
19.25,<music21.chord.Chord E-4 F#3>,"[0, 3]","[3, 6]",Humoresque in B Op101No2 B major.mid,,10,2
19.5,<music21.chord.Chord E-4 B-3 F#3>,"[0, 3, 7]","[3, 6, 10]",Humoresque in B Op101No2 B major.mid,,10,2
19.75,<music21.chord.Chord E-4 F#4 F#3>,"[0, 3]","[3, 6]",Humoresque in B Op101No2 B major.mid,,10,2
20.0,<music21.chord.Chord B4 G#3>,"[0, 3]","[8, 11]",Humoresque in B Op101No2 B major.mid,,11,1
20.25,<music21.chord.Chord B4 E-4 G#3>,"[0, 3, 7]","[8, 11, 3]",Humoresque in B Op101No2 B major.mid,,11,1
