offset,Chord,NormalForm,PCsinNormalForm,file,PhraseBoundary,MeasureNumber,MeasureCount
36.25,<music21.chord.Chord G3>,[0],[7],Prelude in C#- Op3No2 C#-.mid,,,
37.25,<music21.chord.Chord A3 A2>,[0],[9],Prelude in C#- Op3No2 C#-.mid,,,
37.333333333333300,<music21.chord.Chord A1 A3 A2>,[0],[9],Prelude in C#- Op3No2 C#-.mid,,,
37.708333333333300,<music21.chord.Chord A3 A2>,[0],[9],Prelude in C#- Op3No2 C#-.mid,,,
38.625,<music21.chord.Chord D5 A4 F#3 F#4 D4>,"[0, 4, 7]","[2, 6, 9]",Prelude in C#- Op3No2 C#-.mid,,,
38.75,<music21.chord.Chord C4 D5 A4 F#3 F#4 D4>,"[0, 3, 6, 8]","[6, 9, 0, 2]",Prelude in C#- Op3No2 C#-.mid,,,
38.958333333333300,<music21.chord.Chord D5 A4 F#3 C4>,"[0, 3, 6, 8]","[6, 9, 0, 2]",Prelude in C#- Op3No2 C#-.mid,,,
39.0,<music21.chord.Chord C4>,[0],[0],Prelude in C#- Op3No2 C#-.mid,,,
40.0,<music21.chord.Chord G#3>,[0],[8],Prelude in C#- Op3No2 C#-.mid,,,
40.125,<music21.chord.Chord G#2 G#1 G#3>,[0],[8],Prelude in C#- Op3No2 C#-.mid,,,
40.5,<music21.chord.Chord G#3 G#2>,[0],[8],Prelude in C#- Op3No2 C#-.mid,,,
40.625,<music21.chord.Chord G#3>,[0],[8],Prelude in C#- Op3No2 C#-.mid,,,
41.375,<music21.chord.Chord C5 E-4 C4>,"[0, 3]","[0, 3]",Prelude in C#- Op3No2 C#-.mid,,,
41.5,<music21.chord.Chord F#4 F#3 E-3 C5 E-4 C4>,"[0, 3, 6]","[0, 3, 6]",Prelude in C#- Op3No2 C#-.mid,,,
41.875,<music21.chord.Chord C5 F#4 F#3 E-3>,"[0, 3, 6]","[0, 3, 6]",Prelude in C#- Op3No2 C#-.mid,,,
42.0,<music21.chord.Chord F#4 F#3 E-3>,"[0, 3]","[3, 6]",Prelude in C#- Op3No2 C#-.mid,,,
43.25,<music21.chord.Chord C#3 C#2 C#1>,[0],[1],Prelude in C#- Op3No2 C#-.mid,,,
43.875,<music21.chord.Chord C#3 C#2>,[0],[1],Prelude in C#- Op3No2 C#-.mid,,,
45.125,<music21.chord.Chord C#5 E4 G#4 G#3 E3 C#4>,"[0, 3, 7]","[1, 4, 8]",Prelude in C#- Op3No2 C#-.mid,,,
45.458333333333300,<music21.chord.Chord C#5 E4 G#4 G#3 E3>,"[0, 3, 7]","[1, 4, 8]",Prelude in C#- Op3No2 C#-.mid,,,
45.75,<music21.chord.Chord C#5 E4 G#4>,"[0, 3, 7]","[1, 4, 8]",Prelude in C#- Op3No2 C#-.mid,,,
46.5,<music21.chord.Chord G#5 B4 G#4 C#4 B3>,"[0, 3, 5]","[8, 11, 1]",Prelude in C#- Op3No2 C#-.mid,,,
46.625,<music21.chord.Chord C#5 G#5 B4 G#4 C#4 B3>,"[0, 3, 5]","[8, 11, 1]",Prelude in C#- Op3No2 C#-.mid,,,
46.875,<music21.chord.Chord G#5 B4 G#4 C#4 B3>,"[0, 3, 5]","[8, 11, 1]",Prelude in C#- Op3No2 C#-.mid,,,
47.0,<music21.chord.Chord C#5 G#5 B4 G#4 C#4 B3>,"[0, 3, 5]","[8, 11, 1]",Prelude in C#- Op3No2 C#-.mid,,,
47.875,<music21.chord.Chord F#5 C#4 F#4 A4 A3 C#5>,"[0, 3, 7]","[6, 9, 1]",Prelude in C#- Op3No2 C#-.mid,,,
48.125,<music21.chord.Chord F#5 C#4 A3 C#5>,"[0, 3, 7]","[6, 9, 1]",Prelude in C#- Op3No2 C#-.mid,,,
48.208333333333300,<music21.chord.Chord F#5 C#4>,"[0, 5]","[1, 6]",Prelude in C#- Op3No2 C#-.mid,,,
49.125,<music21.chord.Chord C4 C3 C2>,[0],[0],Prelude in C#- Op3No2 C#-.mid,,,
49.5,<music21.chord.Chord C4 C3>,[0],[0],Prelude in C#- Op3No2 C#-.mid,,,
50.666666666666700,<music21.chord.Chord E5 A4 F#4 A3 E4>,"[0, 2, 5]","[4, 6, 9]",Prelude in C#- Op3No2 C#-.mid,,,
50.75,<music21.chord.Chord F#3 E5 A4 F#4 A3 E4>,"[0, 2, 5]","[4, 6, 9]",Prelude in C#- Op3No2 C#-.mid,,,
51.0,<music21.chord.Chord E5 A4 E4 F#3>,"[0, 2, 5]","[4, 6, 9]",Prelude in C#- Op3No2 C#-.mid,,,
51.125,<music21.chord.Chord E5 A4 E4>,"[0, 5]","[4, 9]",Prelude in C#- Op3No2 C#-.mid,,,
52.0,<music21.chord.Chord B3 B2 B1>,[0],[11],Prelude in C#- Op3No2 C#-.mid,,,
52.333333333333300,<music21.chord.Chord B3 B2>,[0],[11],Prelude in C#- Op3No2 C#-.mid,,,
53.333333333333300,<music21.chord.Chord E-5 E-4 A4>,"[0, 6]","[3, 9]",Prelude in C#- Op3No2 C#-.mid,,,
53.375,<music21.chord.Chord F#4 F#3 E-5 E-4 A4>,"[0, 3, 6]","[3, 6, 9]",Prelude in C#- Op3No2 C#-.mid,,,
53.5,<music21.chord.Chord A3 E-5 E-4 A4 F#4 F#3>,"[0, 3, 6]","[3, 6, 9]",Prelude in C#- Op3No2 C#-.mid,,,
53.625,<music21.chord.Chord E-5 E-4 A4 F#3 A3>,"[0, 3, 6]","[3, 6, 9]",Prelude in C#- Op3No2 C#-.mid,,,
53.75,<music21.chord.Chord E-5 E-4 A4>,"[0, 6]","[3, 9]",Prelude in C#- Op3No2 C#-.mid,,,
54.875,<music21.chord.Chord E3 E2 E1>,[0],[4],Prelude in C#- Op3No2 C#-.mid,,,
55.25,<music21.chord.Chord E3 E2>,[0],[4],Prelude in C#- Op3No2 C#-.mid,,,
56.5,<music21.chord.Chord G#4 B4 E5 E4 G#3 B3>,"[0, 4, 7]","[4, 8, 11]",Prelude in C#- Op3No2 C#-.mid,,,
56.75,<music21.chord.Chord G#4 B4 E5 G#3 B3>,"[0, 4, 7]","[4, 8, 11]",Prelude in C#- Op3No2 C#-.mid,,,
56.833333333333300,<music21.chord.Chord G#4 B4 E5>,"[0, 4, 7]","[4, 8, 11]",Prelude in C#- Op3No2 C#-.mid,,,
56.875,<music21.chord.Chord E5>,[0],[4],Prelude in C#- Op3No2 C#-.mid,,,
