Offset,Chord,Normal Form,PCsinNormalForm,file,Phrase Boundary,Song Count,Measure Number,Measure Count
123.0,<music21.chord.Chord A3 F4 B2>,"[0, 4, 6]","[5, 9, 11]",Children's Corner 113 6 Eb Major.mid,,124,62,2
123.5,<music21.chord.Chord B-3 E4 C3>,"[0, 2, 6]","[10, 0, 4]",Children's Corner 113 6 Eb Major.mid,,124,62,2
124.0,<music21.chord.Chord B3 E-4 G#2 C#3>,"[0, 3, 5, 7]","[8, 11, 1, 3]",Children's Corner 113 6 Eb Major.mid,,125,63,1
124.375,<music21.chord.Chord D5 B3 E-4 G#2 C#3>,"[0, 3, 5, 6, 7]","[8, 11, 1, 2, 3]",Children's Corner 113 6 Eb Major.mid,,125,63,1
124.5,<music21.chord.Chord B4 E-5 B3 E-4 G#3 F4 G#2 C#3>,"[0, 2, 4, 6, 9]","[11, 1, 3, 5, 8]",Children's Corner 113 6 Eb Major.mid,,125,63,1
124.625,<music21.chord.Chord B3 E-4 G#2 C#3>,"[0, 3, 5, 7]","[8, 11, 1, 3]",Children's Corner 113 6 Eb Major.mid,,125,63,1
124.875,<music21.chord.Chord C5 B3 E-4 G#2 C#3>,"[0, 3, 4, 5, 7]","[8, 11, 0, 1, 3]",Children's Corner 113 6 Eb Major.mid,,125,63,1
125.0,<music21.chord.Chord B4 C#5 B3 E-4 G#3 F4 G#2 C#3>,"[0, 2, 4, 6, 9]","[11, 1, 3, 5, 8]",Children's Corner 113 6 Eb Major.mid,,126,63,2
125.125,<music21.chord.Chord B3 E-4 G#2 C#3>,"[0, 3, 5, 7]","[8, 11, 1, 3]",Children's Corner 113 6 Eb Major.mid,,126,63,2
125.375,<music21.chord.Chord D5 B3 E-4 G#2 C#3>,"[0, 3, 5, 6, 7]","[8, 11, 1, 2, 3]",Children's Corner 113 6 Eb Major.mid,,126,63,2
125.5,<music21.chord.Chord B4 E-5 B3 E-4 G#3 F4 G#2 C#3>,"[0, 2, 4, 6, 9]","[11, 1, 3, 5, 8]",Children's Corner 113 6 Eb Major.mid,,126,63,2
125.625,<music21.chord.Chord B3 E-4 G#2 C#3>,"[0, 3, 5, 7]","[8, 11, 1, 3]",Children's Corner 113 6 Eb Major.mid,,126,63,2
126.375,<music21.chord.Chord D5>,[0],[2],Children's Corner 113 6 Eb Major.mid,,127,64,1
126.5,<music21.chord.Chord B4 E-5 G#3 B3 F4>,"[0, 2, 5, 8]","[3, 5, 8, 11]",Children's Corner 113 6 Eb Major.mid,,127,64,1
