offset,Chord,NormalForm,PCsinNormalForm,file,PhraseBoundary,MeasureNumber,MeasureCount
23.5,<music21.chord.Chord G#4 B1 B2>,"[0, 3]","[8, 11]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
24.0,<music21.chord.Chord E4 E5 C#2 C#3>,"[0, 3]","[1, 4]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
24.5,<music21.chord.Chord G#4 C#5 E4 E5 C#2 C#3>,"[0, 3, 7]","[1, 4, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
25.0,<music21.chord.Chord G#4 C#5 E4 E5 C#2 C#3>,"[0, 3, 7]","[1, 4, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
25.5,<music21.chord.Chord G#3 G#4 B1 B2>,"[0, 3]","[8, 11]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
26.0,<music21.chord.Chord C#4 E4 G#3 G#4 B1 B2>,"[0, 3, 5, 8]","[8, 11, 1, 4]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
26.5,<music21.chord.Chord C#4 E4 G#3 G#4 B1 B2>,"[0, 3, 5, 8]","[8, 11, 1, 4]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
27.0,<music21.chord.Chord C#4 C#5 B-1 B-2>,"[0, 3]","[10, 1]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
27.5,<music21.chord.Chord E4 G#4 C#4 C#5 B-1 B-2>,"[0, 2, 5, 8]","[8, 10, 1, 4]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
28.0,<music21.chord.Chord E4 G#4 C#4 C#5 B-1 B-2>,"[0, 2, 5, 8]","[8, 10, 1, 4]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
28.5,<music21.chord.Chord E4 G#1 G#2 E3>,"[0, 4]","[4, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
