offset,Chord,NormalForm,PCsinNormalForm,file,Phrase Boundary,Measure Number,Measure Count
57.125,<music21.chord.Chord D3 B3>,"[0, 3]","[11, 2]",Romanian Folk Dances 2 Braul D minor.mid,,29,2
57.5,<music21.chord.Chord A4>,[0],[9],Romanian Folk Dances 2 Braul D minor.mid,,29,2
58.0,<music21.chord.Chord G4 A2>,"[0, 2]","[7, 9]",Romanian Folk Dances 2 Braul D minor.mid,,30,1
58.125,<music21.chord.Chord A2>,[0],[9],Romanian Folk Dances 2 Braul D minor.mid,,30,1
58.5,<music21.chord.Chord F4>,[0],[5],Romanian Folk Dances 2 Braul D minor.mid,,30,1
59.0,<music21.chord.Chord E4 G3 C#4>,"[0, 3, 6]","[1, 4, 7]",Romanian Folk Dances 2 Braul D minor.mid,,30,2
59.125,<music21.chord.Chord G3 C#4>,"[0, 6]","[1, 7]",Romanian Folk Dances 2 Braul D minor.mid,,30,2
59.5,<music21.chord.Chord F4>,[0],[5],Romanian Folk Dances 2 Braul D minor.mid,,30,2
60.0,<music21.chord.Chord D4 D2>,[0],[2],Romanian Folk Dances 2 Braul D minor.mid,,31,1
61.0,<music21.chord.Chord D4 D3 F3 A3>,"[0, 3, 7]","[2, 5, 9]",Romanian Folk Dances 2 Braul D minor.mid,,31,2
61.125,<music21.chord.Chord D3 F3 A3>,"[0, 3, 7]","[2, 5, 9]",Romanian Folk Dances 2 Braul D minor.mid,,31,2
61.75,<music21.chord.Chord A3>,[0],[9],Romanian Folk Dances 2 Braul D minor.mid,,31,2
62.0,<music21.chord.Chord D4 D3 F3 A3>,"[0, 3, 7]","[2, 5, 9]",Romanian Folk Dances 2 Braul D minor.mid,2,32,1
