offset,Chord,NormalForm,PCsinNormalForm,file,Phrase Boundary,Song Count,Measure Number,Measure Count
2.0,<music21.chord.Chord G#1 G#2 F#3 G#4>,"[0, 2]","[6, 8]",Poulenc_Les_chemins_de_lamour.mxl,,,14,3
0.0,<music21.chord.Chord C#2 G#4>,"[0, -7]","[8, 1]",Poulenc_Les_chemins_de_lamour.mxl,,,15,1
1.0,<music21.chord.Chord C#2 G#3 B3 F4 A4>,"[0, 3, 4, 6, -4]","[5, 8, 9, 11, 1]",Poulenc_Les_chemins_de_lamour.mxl,,,15,2
2.0,<music21.chord.Chord C#2 C#3 B3 F4 B4>,"[0, -10, -6]","[11, 1, 5]",Poulenc_Les_chemins_de_lamour.mxl,,,15,3
0.0,<music21.chord.Chord C#3 B3 F4 A-4 D5>,"[0, 3, 6, -4, -3]","[5, 8, 11, 1, 2]",Poulenc_Les_chemins_de_lamour.mxl,,,16,1
1.0,<music21.chord.Chord C#3 C#4 F4 A-4 C#5>,"[0, 4, 7]","[1, 5, 8]",Poulenc_Les_chemins_de_lamour.mxl,,,16,2
2.0,<music21.chord.Chord C#3 D4 F4 A-4 B4>,"[0, 3, 6, -4, -3]","[5, 8, 11, 1, 2]",Poulenc_Les_chemins_de_lamour.mxl,,,16,3
0.0,<music21.chord.Chord F#2 A3 C#4 F#4 B4>,"[0, 3, 5, -5]","[6, 9, 11, 1]",Poulenc_Les_chemins_de_lamour.mxl,,,17,1
1.0,<music21.chord.Chord G#2 A3 C#4 F#4 A4>,"[0, 2, 3, -5]","[6, 8, 9, 1]",Poulenc_Les_chemins_de_lamour.mxl,,,17,2
2.0,<music21.chord.Chord A2 A3 C#4 F#4 G#4>,"[0, 2, 3, -5]","[6, 8, 9, 1]",Poulenc_Les_chemins_de_lamour.mxl,,,17,3
0.0,<music21.chord.Chord A2 B3 C#4 G#4>,"[0, 1, 3, -7]","[8, 9, 11, 1]",Poulenc_Les_chemins_de_lamour.mxl,,,18,1
1.0,<music21.chord.Chord B2 A3 C#4 F#4>,"[0, 3, 5, -5]","[6, 9, 11, 1]",Poulenc_Les_chemins_de_lamour.mxl,,,18,2
