offset,Chord,NormalForm,PCsInNormalForm,file,Phrase Boundary,Song Count,Measure Number,Measure Count
168.125,<music21.chord.Chord G4 C#5 F5 B3>,"[0, 2, 6, 8]","[5, 7, 11, 1]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,152,,
168.625,<music21.chord.Chord G4 B4 E-5 C#4>,"[0, 2, 4, 8]","[11, 1, 3, 7]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,153,,
169.125,<music21.chord.Chord G4 C#5 F5 C#4>,"[0, 4, 6]","[1, 5, 7]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,153,,
169.625,<music21.chord.Chord G4 E-5 G5 C#4>,"[0, 2, 6]","[1, 3, 7]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,154,,
170.125,<music21.chord.Chord G4 C#5 F5 C#4>,"[0, 4, 6]","[1, 5, 7]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,154,,
170.625,<music21.chord.Chord G4 B4 E-5 E-4>,"[0, 4, 8]","[3, 7, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,155,,
171.125,<music21.chord.Chord G4 C#5 F5 E-4>,"[0, 2, 4, 6]","[1, 3, 5, 7]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,155,,
171.625,<music21.chord.Chord G4 E-5 G5>,"[0, 4]","[3, 7]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,156,,
172.125,<music21.chord.Chord G4 C#5 F5>,"[0, 4, 6]","[1, 5, 7]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,156,,
172.625,<music21.chord.Chord G#4 B4 E-5 E-2 E-3>,"[0, 3, 7]","[8, 11, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,157,,
173.125,<music21.chord.Chord G#4 C#5 F5 E-2 E-3>,"[0, 2, 4, 7]","[1, 3, 5, 8]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,157,,
173.625,<music21.chord.Chord G#4 E-5 G5>,"[0, 4, 5]","[3, 7, 8]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,158,,
