offset,Chord,NormalForm,PCsinNormalForm,file,PhraseBoundary,MeasureNumber,MeasureCount
2.0,<music21.chord.Chord B3 D5>,"[0, -9]","[11, 2]",Part_Fuer_Alina.mxl,,12,3
3.0,<music21.chord.Chord D4 E5>,"[0, 2]","[2, 4]",Part_Fuer_Alina.mxl,,12,4
0.0,<music21.chord.Chord F#3 B4>,"[0, 5]","[6, 11]",Part_Fuer_Alina.mxl,,13,1
1.0,<music21.chord.Chord D4 F#5>,"[0, 4]","[2, 6]",Part_Fuer_Alina.mxl,,13,1 1/3
2.0,<music21.chord.Chord B4 D6>,"[0, -9]","[11, 2]",Part_Fuer_Alina.mxl,,13,1 2/3
0.0,<music21.chord.Chord F#4 B5>,"[0, 5]","[6, 11]",Part_Fuer_Alina.mxl,,14,1
1.0,<music21.chord.Chord B3 D5>,"[0, -9]","[11, 2]",Part_Fuer_Alina.mxl,,14,2
0.0,<music21.chord.Chord F#4 B5>,"[0, 5]","[6, 11]",Part_Fuer_Alina.mxl,,15,1
1.0,<music21.chord.Chord B4 C#6>,"[0, -10]","[11, 1]",Part_Fuer_Alina.mxl,,15,1 1/3
2.0,<music21.chord.Chord F#4 B5>,"[0, 5]","[6, 11]",Part_Fuer_Alina.mxl,,15,1 2/3
