offset,Chord,NormalForm,PCsinNormalForm,file,Phrase Boundary,Song Count,Measure Number,Measure Count
2.5,<music21.chord.Chord D-3 B-3 F4 B-4 E-5>,"[0, -9, -7, -5]","[10, 1, 3, 5]",Copland_Piano_Blues_No_3.mxl,,,7,6
0.0,<music21.chord.Chord E-3 B-3 D-4 A-4>,"[0, 2, -7, -5]","[8, 10, 1, 3]",Copland_Piano_Blues_No_3.mxl,,,8,1
0.5,<music21.chord.Chord F3 A-3 E-4 C5>,"[0, 3, 5, 8]","[0, 3, 5, 8]",Copland_Piano_Blues_No_3.mxl,,,8,2
1.5,<music21.chord.Chord A-3 D-4 B-4 E-5>,"[0, 2, -7, -5]","[8, 10, 1, 3]",Copland_Piano_Blues_No_3.mxl,,,8,4
2.5,<music21.chord.Chord B-2 A-3 D-4 B-4 E-5 F5 A-5>,"[0, 2, 4, 7, 9]","[1, 3, 5, 8, 10]",Copland_Piano_Blues_No_3.mxl,,,8,6
0.0,<music21.chord.Chord E-2 B-2 A-3 D-4 F4>,"[0, 2, 4, 7, 9]","[1, 3, 5, 8, 10]",Copland_Piano_Blues_No_3.mxl,,,9,1
0.5,<music21.chord.Chord F2 C3 G3 C4 E-4>,"[0, 3, 5, 7]","[0, 3, 5, 7]",Copland_Piano_Blues_No_3.mxl,,,9,1 1/2
1.5,<music21.chord.Chord F2 C3 G3 C4 E-4>,"[0, 3, 5, 7]","[0, 3, 5, 7]",Copland_Piano_Blues_No_3.mxl,,,9,2 1/2
1.75,<music21.chord.Chord G-2 D-3 B-3 F4 A-4>,"[0, 1, 3, 5, -4]","[5, 6, 8, 10, 1]",Copland_Piano_Blues_No_3.mxl,,,9,2 3/4
2.0,<music21.chord.Chord G-2 D-3 B-3 F4 A-4>,"[0, 1, 3, 5, -4]","[5, 6, 8, 10, 1]",Copland_Piano_Blues_No_3.mxl,,,9,3
3.0,<music21.chord.Chord C-2 D-3 B-3 E-4 G4>,"[0, 3, 4, -6, -4]","[7, 10, 11, 1, 3]",Copland_Piano_Blues_No_3.mxl,,,9,4
0.0,<music21.chord.Chord E-2 B-2 A-3 D-4 F4>,"[0, 2, 4, 7, 9]","[1, 3, 5, 8, 10]",Copland_Piano_Blues_No_3.mxl,,,10,1
0.5,<music21.chord.Chord F2 C3 G3 C4 E-4>,"[0, 3, 5, 7]","[0, 3, 5, 7]",Copland_Piano_Blues_No_3.mxl,,,10,1 1/2
1.5,<music21.chord.Chord F2 C3 G3 C4 E-4>,"[0, 3, 5, 7]","[0, 3, 5, 7]",Copland_Piano_Blues_No_3.mxl,,,10,2 1/2
1.75,<music21.chord.Chord G-2 D-3 A-3 B-3 F4 C5>,"[0, 1, 3, 5, -5, -4]","[5, 6, 8, 10, 0, 1]",Copland_Piano_Blues_No_3.mxl,,,10,2 3/4
2.0,<music21.chord.Chord G-2 D-3 A-3 B-3 F4 C5>,"[0, 1, 3, 5, -5, -4]","[5, 6, 8, 10, 0, 1]",Copland_Piano_Blues_No_3.mxl,,,10,3
3.0,<music21.chord.Chord G-1 G-2 D-3 A-3 B-3 F4 C5 F5 A-5>,"[0, 1, 3, 5, -5, -4]","[5, 6, 8, 10, 0, 1]",Copland_Piano_Blues_No_3.mxl,,,10,4
0.0,<music21.chord.Chord E-2 B-2 A-3 D-4 F4>,"[0, 2, 4, 7, 9]","[1, 3, 5, 8, 10]",Copland_Piano_Blues_No_3.mxl,,,11,1
0.5,<music21.chord.Chord F2 C3 G3 C4 E-4>,"[0, 3, 5, 7]","[0, 3, 5, 7]",Copland_Piano_Blues_No_3.mxl,,,11,2
1.5,<music21.chord.Chord G-2 D-3 A-3 C4 A-4 E-5>,"[0, 1, 3, 6, 8]","[0, 1, 3, 6, 8]",Copland_Piano_Blues_No_3.mxl,,,11,4
2.5,<music21.chord.Chord G-2 D-3 A-3 C4 E-4 A-4 C5>,"[0, 1, 3, 6, 8]","[0, 1, 3, 6, 8]",Copland_Piano_Blues_No_3.mxl,,,11,6
0.0,<music21.chord.Chord F2 C3 B-3 E-4 G4>,"[0, 2, 4, 7, -3]","[3, 5, 7, 10, 0]",Copland_Piano_Blues_No_3.mxl,,,12,1
0.5,<music21.chord.Chord G2 D3 A3 D4 F4>,"[0, 3, 5, 7]","[2, 5, 7, 9]",Copland_Piano_Blues_No_3.mxl,,,12,1 1/2
2.0,<music21.chord.Chord A-2 E-3 B-3 D4 B-4 F5>,"[0, 1, 3, 6, 8]","[2, 3, 5, 8, 10]",Copland_Piano_Blues_No_3.mxl,,,12,3
