offset,Chord,NormalForm,PCsinNormalForm,file,Phrase Boundary,Song Count,Measure Number,Measure Count
0.0,<music21.chord.Chord F3 F5>,[0],[5],Simpson_Invention_no6.xml,,,81,1
0.5,<music21.chord.Chord E-3 F5>,"[0, 2]","[3, 5]",Simpson_Invention_no6.xml,,,81,1 1/2
1.0,<music21.chord.Chord F3 F5>,[0],[5],Simpson_Invention_no6.xml,,,81,2
1.5,<music21.chord.Chord D3 F5>,"[0, 3]","[2, 5]",Simpson_Invention_no6.xml,,,81,2 1/2
0.0,<music21.chord.Chord F3 E-5>,"[0, 2]","[3, 5]",Simpson_Invention_no6.xml,,,82,1
1/3,<music21.chord.Chord E-3 E-5>,[0],[3],Simpson_Invention_no6.xml,,,82,1 1/3
2/3,<music21.chord.Chord C3 E-5>,"[0, 3]","[0, 3]",Simpson_Invention_no6.xml,,,82,1 2/3
1.0,<music21.chord.Chord F3 D5>,"[0, 3]","[2, 5]",Simpson_Invention_no6.xml,,,82,2
1.5,<music21.chord.Chord B-2 D5>,"[0, -8]","[10, 2]",Simpson_Invention_no6.xml,,,82,2 1/2
0.0,<music21.chord.Chord F3 C5>,"[0, 5]","[0, 5]",Simpson_Invention_no6.xml,,,83,1
0.5,<music21.chord.Chord A2 C5>,"[0, -9]","[9, 0]",Simpson_Invention_no6.xml,,,83,1 1/2
1.0,<music21.chord.Chord F3 C5>,"[0, 5]","[0, 5]",Simpson_Invention_no6.xml,,,83,2
1.5,<music21.chord.Chord E-3 C5>,"[0, 3]","[0, 3]",Simpson_Invention_no6.xml,,,83,2 1/2
0.0,<music21.chord.Chord F3 B-4>,"[0, 5]","[5, 10]",Simpson_Invention_no6.xml,,,84,1
1/3,<music21.chord.Chord E-3 B-4>,"[0, -7]","[10, 3]",Simpson_Invention_no6.xml,,,84,1 1/3
2/3,<music21.chord.Chord D3 B-4>,"[0, -8]","[10, 2]",Simpson_Invention_no6.xml,,,84,1 2/3
1.0,<music21.chord.Chord F3 A4>,"[0, 4]","[5, 9]",Simpson_Invention_no6.xml,,,84,2
1.5,<music21.chord.Chord C3 A4>,"[0, -9]","[9, 0]",Simpson_Invention_no6.xml,,,84,2 1/2
0.0,<music21.chord.Chord F3 G4>,"[0, 2]","[5, 7]",Simpson_Invention_no6.xml,,,85,1
0.5,<music21.chord.Chord B-2 G4>,"[0, 3]","[7, 10]",Simpson_Invention_no6.xml,,,85,1 1/2
1.0,<music21.chord.Chord F3 F4>,[0],[5],Simpson_Invention_no6.xml,,,85,2
1.5,<music21.chord.Chord A2 F4>,"[0, 4]","[5, 9]",Simpson_Invention_no6.xml,,,85,2 1/2
0.0,<music21.chord.Chord F3 E-5>,"[0, 2]","[3, 5]",Simpson_Invention_no6.xml,,,86,1
1/3,<music21.chord.Chord E-3 E-5>,[0],[3],Simpson_Invention_no6.xml,,,86,1 1/3
2/3,<music21.chord.Chord G2 E-5>,"[0, 4]","[3, 7]",Simpson_Invention_no6.xml,,,86,1 2/3
1.0,<music21.chord.Chord F3 D5>,"[0, 3]","[2, 5]",Simpson_Invention_no6.xml,,,86,2
1.5,<music21.chord.Chord F2 D5>,"[0, 3]","[2, 5]",Simpson_Invention_no6.xml,,,86,2 1/2
