offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,Phrase Bounday,Song Beat Number,Measure Number,Measure Beat Number
219.25,<music21.chord.Chord B4 G3 B3 D4 F4>,"[0, 3, 6, 8]","[11, 2, 5, 7]","[11, 2, 5, 7]",,220,55,4
219.5,<music21.chord.Chord A4 G3 B3 D4 F4>,"[0, 2, 4, 6, 9]","[5, 7, 9, 11, 2]","[5, 7, 9, 11, 2]",,220,55,4
219.666666666667,<music21.chord.Chord A4>,[0],[9],[9],,220,55,4
219.75,<music21.chord.Chord G4>,[0],[7],[7],,220,55,4
220,<music21.chord.Chord F4>,[0],[5],[5],,221,56,1
220.25,<music21.chord.Chord E4>,[0],[4],[4],,221,56,1
220.5,<music21.chord.Chord D4>,[0],[2],[2],,221,56,1
220.75,<music21.chord.Chord C4>,[0],[0],[0],,221,56,1
221,<music21.chord.Chord B3>,[0],[11],[11],,222,56,2
221.25,<music21.chord.Chord A3>,[0],[9],[9],,222,56,2
221.5,<music21.chord.Chord G3>,[0],[7],[7],,222,56,2
221.75,<music21.chord.Chord A3>,[0],[9],[9],,222,56,2
222,<music21.chord.Chord B3>,[0],[11],[11],,223,56,3
222.25,<music21.chord.Chord C4>,[0],[0],[0],,223,56,3
222.5,<music21.chord.Chord D4>,[0],[2],[2],,223,56,3
222.75,<music21.chord.Chord E4>,[0],[4],[4],,223,56,3
223,<music21.chord.Chord F4>,[0],[5],[5],,224,56,4
223.25,<music21.chord.Chord G4>,[0],[7],[7],,224,56,4
223.5,<music21.chord.Chord A4>,[0],[9],[9],,224,56,4
223.75,<music21.chord.Chord B4>,[0],[11],[11],2,224,56,4
224,<music21.chord.Chord C5 C3>,[0],[0],[0],1,225,57,1
224.25,<music21.chord.Chord D3>,[0],[2],[2],,225,57,1
224.5,<music21.chord.Chord E3>,[0],[4],[4],,225,57,1
224.75,<music21.chord.Chord F3>,[0],[5],[5],,225,57,1
225,<music21.chord.Chord G3>,[0],[7],[7],,226,57,2
225.25,<music21.chord.Chord F3>,[0],[5],[5],,226,57,2
225.5,<music21.chord.Chord E3>,[0],[4],[4],,226,57,2
225.75,<music21.chord.Chord D3>,[0],[2],[2],,226,57,2
226,<music21.chord.Chord C3>,[0],[0],[0],,227,57,3
226.25,<music21.chord.Chord D3>,[0],[2],[2],,227,57,3
226.5,<music21.chord.Chord E3>,[0],[4],[4],,227,57,3
226.75,<music21.chord.Chord F3>,[0],[5],[5],,227,57,3
227,<music21.chord.Chord E4 G4 G3>,"[0, 3]","[4, 7]","[4, 7]",,228,57,4
227.25,<music21.chord.Chord F3>,[0],[5],[5],,228,57,4
227.5,<music21.chord.Chord E3>,[0],[4],[4],,228,57,4
227.75,<music21.chord.Chord D3>,[0],[2],[2],,228,57,4
228,<music21.chord.Chord E4 C5 C3>,"[0, 4]","[0, 4]","[0, 4]",,229,58,1
228.25,<music21.chord.Chord D3>,[0],[2],[2],,229,58,1
228.5,<music21.chord.Chord E3>,[0],[4],[4],,229,58,1
228.75,<music21.chord.Chord F3>,[0],[5],[5],,229,58,1
229,<music21.chord.Chord C5 E4 G3>,"[0, 4, 7]","[0, 4, 7]","[0, 4, 7]",,230,58,2
229.25,<music21.chord.Chord C5 E4 F3>,"[0, 4, 5]","[0, 4, 5]","[0, 4, 5]",,230,58,2
229.5,<music21.chord.Chord C5 E4 E3>,"[0, 4]","[0, 4]","[0, 4]",,230,58,2
229.75,<music21.chord.Chord C5 E4 D3>,"[0, 2, 4]","[0, 2, 4]","[0, 2, 4]",,230,58,2
230,<music21.chord.Chord C5 E4 C3>,"[0, 4]","[0, 4]","[0, 4]",,231,58,3
230.25,<music21.chord.Chord C5 E4 D3>,"[0, 2, 4]","[0, 2, 4]","[0, 2, 4]",,231,58,3
230.5,<music21.chord.Chord C5 E4 E3>,"[0, 4]","[0, 4]","[0, 4]",,231,58,3
230.75,<music21.chord.Chord C5 E4 F3>,"[0, 4, 5]","[0, 4, 5]","[0, 4, 5]",,231,58,3
231,<music21.chord.Chord B-4 E4 G3>,"[0, 3, 6]","[4, 7, 10]","[4, 7, 10]",,232,58,4
231.25,<music21.chord.Chord B-4 E4 A3>,"[0, 5, 6]","[4, 9, 10]","[4, 9, 10]",,232,58,4
231.5,<music21.chord.Chord B-4 E4 B-3>,"[0, 6]","[4, 10]","[4, 10]",,232,58,4
231.75,<music21.chord.Chord B-4 E4 C4>,"[0, 2, 6]","[10, 0, 4]","[10, 0, 4]",,232,58,4
231.875,<music21.chord.Chord C4>,[0],[0],[0],,232,58,4
232,<music21.chord.Chord F4 A4 F3>,"[0, 4]","[5, 9]","[5, 9]",,233,59,1
232.25,<music21.chord.Chord G3>,[0],[7],[7],,233,59,1
232.5,<music21.chord.Chord A3>,[0],[9],[9],,233,59,1
232.75,<music21.chord.Chord B-3>,[0],[10],[10],,233,59,1
233,<music21.chord.Chord C4>,[0],[0],[0],,234,59,2
233.25,<music21.chord.Chord B-3>,[0],[10],[10],,234,59,2
233.5,<music21.chord.Chord A3>,[0],[9],[9],,234,59,2
233.75,<music21.chord.Chord G3>,[0],[7],[7],,234,59,2
234,<music21.chord.Chord F3>,[0],[5],[5],,235,59,3
234.25,<music21.chord.Chord G3>,[0],[7],[7],,235,59,3
234.5,<music21.chord.Chord A3>,[0],[9],[9],,235,59,3
234.75,<music21.chord.Chord B-3>,[0],[10],[10],,235,59,3
235,<music21.chord.Chord A4 C5 C4>,"[0, 3]","[9, 0]","[9, 0]",,236,59,4
235.25,<music21.chord.Chord B-3>,[0],[10],[10],,236,59,4
235.5,<music21.chord.Chord A3>,[0],[9],[9],,236,59,4
235.75,<music21.chord.Chord G3>,[0],[7],[7],,236,59,4
236,<music21.chord.Chord A4 F5 F3>,"[0, 4]","[5, 9]","[5, 9]",,237,60,1
236.25,<music21.chord.Chord G3>,[0],[7],[7],,237,60,1
236.5,<music21.chord.Chord A3>,[0],[9],[9],,237,60,1
236.75,<music21.chord.Chord B-3>,[0],[10],[10],,237,60,1
237,<music21.chord.Chord F5 A4 C4>,"[0, 4, 7]","[5, 9, 0]","[5, 9, 0]",,238,60,2
237.25,<music21.chord.Chord F5 A4 B-3>,"[0, 4, 5]","[5, 9, 10]","[5, 9, 10]",,238,60,2
