offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,Phrase Bounday,Song Beat Number,Measure Number,Measure Beat Number
0,<music21.chord.Chord C4>,[0],[0],[0],1,1,1,1
0.25,<music21.chord.Chord D4>,[0],[2],[2],,1,1,1
0.5,<music21.chord.Chord E4>,[0],[4],[4],,1,1,1
0.75,<music21.chord.Chord F4>,[0],[5],[5],,1,1,1
1,<music21.chord.Chord G4>,[0],[7],[7],,2,1,2
1.25,<music21.chord.Chord F4>,[0],[5],[5],,2,1,2
1.5,<music21.chord.Chord E4>,[0],[4],[4],,2,1,2
1.75,<music21.chord.Chord D4>,[0],[2],[2],,2,1,2
2,<music21.chord.Chord C4>,[0],[0],[0],,3,1,3
2.25,<music21.chord.Chord D4>,[0],[2],[2],,3,1,3
2.5,<music21.chord.Chord E4>,[0],[4],[4],,3,1,3
2.75,<music21.chord.Chord F4>,[0],[5],[5],,3,1,3
3,<music21.chord.Chord G4>,[0],[7],[7],,4,1,4
3.25,<music21.chord.Chord F4>,[0],[5],[5],,4,1,4
3.5,<music21.chord.Chord E4>,[0],[4],[4],,4,1,4
3.75,<music21.chord.Chord D4>,[0],[2],[2],,4,1,4
4,<music21.chord.Chord C4 E3 G3>,"[0, 4, 7]","[0, 4, 7]","[0, 4, 7]",,5,2,1
4.25,<music21.chord.Chord D4>,[0],[2],[2],,5,2,1
4.5,<music21.chord.Chord E4>,[0],[4],[4],,5,2,1
4.75,<music21.chord.Chord F4>,[0],[5],[5],,5,2,1
5,<music21.chord.Chord G4>,[0],[7],[7],,6,2,2
5.25,<music21.chord.Chord F4>,[0],[5],[5],,6,2,2
5.5,<music21.chord.Chord E4>,[0],[4],[4],,6,2,2
5.75,<music21.chord.Chord D4>,[0],[2],[2],,6,2,2
6,<music21.chord.Chord C4>,[0],[0],[0],,7,2,3
6.25,<music21.chord.Chord D4>,[0],[2],[2],,7,2,3
6.5,<music21.chord.Chord E4>,[0],[4],[4],,7,2,3
6.75,<music21.chord.Chord F4>,[0],[5],[5],,7,2,3
7,<music21.chord.Chord G4 E3 G3>,"[0, 3]","[4, 7]","[4, 7]",,8,2,4
7.25,<music21.chord.Chord A4>,[0],[9],[9],,8,2,4
7.5,<music21.chord.Chord B4>,[0],[11],[11],,8,2,4
7.75,<music21.chord.Chord C5>,[0],[0],[0],,8,2,4
8,<music21.chord.Chord D4 F3 A3>,"[0, 3, 7]","[2, 5, 9]","[2, 5, 9]",,9,3,1
8.25,<music21.chord.Chord E4>,[0],[4],[4],,9,3,1
8.5,<music21.chord.Chord F4>,[0],[5],[5],,9,3,1
8.75,<music21.chord.Chord G4>,[0],[7],[7],,9,3,1
9,<music21.chord.Chord A4>,[0],[9],[9],,10,3,2
9.25,<music21.chord.Chord G4>,[0],[7],[7],,10,3,2
9.5,<music21.chord.Chord F4>,[0],[5],[5],,10,3,2
9.75,<music21.chord.Chord E4>,[0],[4],[4],,10,3,2
10,<music21.chord.Chord D4>,[0],[2],[2],,11,3,3
10.25,<music21.chord.Chord E4>,[0],[4],[4],,11,3,3
10.5,<music21.chord.Chord F4>,[0],[5],[5],,11,3,3
10.75,<music21.chord.Chord G4>,[0],[7],[7],,11,3,3
11,<music21.chord.Chord A4 F3 A3>,"[0, 4]","[5, 9]","[5, 9]",,12,3,4
11.25,<music21.chord.Chord B4>,[0],[11],[11],,12,3,4
11.5,<music21.chord.Chord C5>,[0],[0],[0],,12,3,4
11.75,<music21.chord.Chord D5>,[0],[2],[2],,12,3,4
12,<music21.chord.Chord B4 G3 B3>,"[0, 4]","[7, 11]","[7, 11]",,13,4,1
12.25,<music21.chord.Chord A4>,[0],[9],[9],,13,4,1
12.5,<music21.chord.Chord B4>,[0],[11],[11],,13,4,1
12.75,<music21.chord.Chord C5>,[0],[0],[0],,13,4,1
13,<music21.chord.Chord D5>,[0],[2],[2],,14,4,2
13.25,<music21.chord.Chord C5>,[0],[0],[0],,14,4,2
13.5,<music21.chord.Chord B4>,[0],[11],[11],,14,4,2
13.75,<music21.chord.Chord A4>,[0],[9],[9],,14,4,2
14,<music21.chord.Chord G4>,[0],[7],[7],,15,4,3
14.25,<music21.chord.Chord A4>,[0],[9],[9],,15,4,3
14.5,<music21.chord.Chord B4>,[0],[11],[11],,15,4,3
14.75,<music21.chord.Chord C5>,[0],[0],[0],,15,4,3
15,<music21.chord.Chord D5 B3 D4>,"[0, 3]","[11, 2]","[11, 2]",,16,4,4
15.25,<music21.chord.Chord E5>,[0],[4],[4],,16,4,4
15.5,<music21.chord.Chord F5>,[0],[5],[5],,16,4,4
15.75,<music21.chord.Chord G5>,[0],[7],[7],,16,4,4
16,<music21.chord.Chord E5 C4 E4>,"[0, 4]","[0, 4]","[0, 4]",,17,5,1
16.25,<music21.chord.Chord D5>,[0],[2],[2],,17,5,1
16.5,<music21.chord.Chord E5>,[0],[4],[4],,17,5,1
16.75,<music21.chord.Chord F5>,[0],[5],[5],,17,5,1
17,<music21.chord.Chord G5>,[0],[7],[7],,18,5,2
17.25,<music21.chord.Chord F5>,[0],[5],[5],,18,5,2
17.5,<music21.chord.Chord E5>,[0],[4],[4],,18,5,2
17.75,<music21.chord.Chord D5>,[0],[2],[2],,18,5,2
18,<music21.chord.Chord C5>,[0],[0],[0],,19,5,3
18.25,<music21.chord.Chord D5>,[0],[2],[2],,19,5,3
18.5,<music21.chord.Chord E5>,[0],[4],[4],,19,5,3
18.75,<music21.chord.Chord F5>,[0],[5],[5],,19,5,3
19,<music21.chord.Chord G5>,[0],[7],[7],,20,5,4
19.25,<music21.chord.Chord F5>,[0],[5],[5],,20,5,4
19.5,<music21.chord.Chord E5>,[0],[4],[4],,20,5,4
19.75,<music21.chord.Chord D5>,[0],[2],[2],,20,5,4
20,<music21.chord.Chord C5 E4 G4>,"[0, 4, 7]","[0, 4, 7]","[0, 4, 7]",,21,6,1
20.25,<music21.chord.Chord D5>,[0],[2],[2],,21,6,1
20.5,<music21.chord.Chord E5>,[0],[4],[4],,21,6,1
20.75,<music21.chord.Chord F5>,[0],[5],[5],,21,6,1
21,<music21.chord.Chord G5>,[0],[7],[7],,22,6,2
21.25,<music21.chord.Chord F5>,[0],[5],[5],,22,6,2
21.5,<music21.chord.Chord E5>,[0],[4],[4],,22,6,2
21.75,<music21.chord.Chord D5>,[0],[2],[2],,22,6,2
22,<music21.chord.Chord C5>,[0],[0],[0],,23,6,3
22.25,<music21.chord.Chord D5>,[0],[2],[2],,23,6,3
22.5,<music21.chord.Chord E5>,[0],[4],[4],,23,6,3
22.75,<music21.chord.Chord F5>,[0],[5],[5],,23,6,3
23,<music21.chord.Chord G5 E4 G4>,"[0, 3]","[4, 7]","[4, 7]",,24,6,4
23.25,<music21.chord.Chord A5>,[0],[9],[9],,24,6,4
23.5,<music21.chord.Chord B5>,[0],[11],[11],,24,6,4
23.75,<music21.chord.Chord C6>,[0],[0],[0],,24,6,4
24,<music21.chord.Chord D5 F4 A4>,"[0, 3, 7]","[2, 5, 9]","[2, 5, 9]",,25,7,1
24.25,<music21.chord.Chord E5>,[0],[4],[4],,25,7,1
24.5,<music21.chord.Chord F5>,[0],[5],[5],,25,7,1
24.75,<music21.chord.Chord G5>,[0],[7],[7],,25,7,1
25,<music21.chord.Chord A5>,[0],[9],[9],,26,7,2
25.25,<music21.chord.Chord G5>,[0],[7],[7],,26,7,2
25.5,<music21.chord.Chord F5>,[0],[5],[5],,26,7,2
25.75,<music21.chord.Chord E5>,[0],[4],[4],,26,7,2
26,<music21.chord.Chord D5>,[0],[2],[2],,27,7,3
26.25,<music21.chord.Chord E5>,[0],[4],[4],,27,7,3
26.5,<music21.chord.Chord F5>,[0],[5],[5],,27,7,3
26.75,<music21.chord.Chord G5>,[0],[7],[7],,27,7,3
27,<music21.chord.Chord A5 F4 A4>,"[0, 4]","[5, 9]","[5, 9]",,28,7,4
27.25,<music21.chord.Chord B5>,[0],[11],[11],,28,7,4
27.5,<music21.chord.Chord C6>,[0],[0],[0],,28,7,4
27.75,<music21.chord.Chord D6>,[0],[2],[2],,28,7,4
28,<music21.chord.Chord B5 G4 B4>,"[0, 4]","[7, 11]","[7, 11]",,29,8,1
28.25,<music21.chord.Chord A5>,[0],[9],[9],,29,8,1
28.5,<music21.chord.Chord B5>,[0],[11],[11],,29,8,1
28.75,<music21.chord.Chord C6>,[0],[0],[0],,29,8,1
29,<music21.chord.Chord D6>,[0],[2],[2],,30,8,2
29.25,<music21.chord.Chord C6>,[0],[0],[0],,30,8,2
29.5,<music21.chord.Chord B5>,[0],[11],[11],,30,8,2
29.75,<music21.chord.Chord A5>,[0],[9],[9],,30,8,2
30,<music21.chord.Chord G5>,[0],[7],[7],,31,8,3
30.25,<music21.chord.Chord A5>,[0],[9],[9],,31,8,3
30.5,<music21.chord.Chord B5>,[0],[11],[11],,31,8,3
30.75,<music21.chord.Chord C6>,[0],[0],[0],,31,8,3
31,<music21.chord.Chord D6 G4 B4>,"[0, 4, 7]","[7, 11, 2]","[7, 11, 2]",,32,8,4
31.25,<music21.chord.Chord E6>,[0],[4],[4],,32,8,4
31.5,<music21.chord.Chord F6>,[0],[5],[5],,32,8,4
31.75,<music21.chord.Chord G6>,[0],[7],[7],,32,8,4
32,<music21.chord.Chord C6 E6 C4>,"[0, 4]","[0, 4]","[0, 4]",,33,9,1
32.25,<music21.chord.Chord D4>,[0],[2],[2],,33,9,1
32.5,<music21.chord.Chord E4>,[0],[4],[4],,33,9,1
32.75,<music21.chord.Chord F4>,[0],[5],[5],,33,9,1
33,<music21.chord.Chord G4>,[0],[7],[7],,34,9,2
33.25,<music21.chord.Chord F4>,[0],[5],[5],,34,9,2
33.5,<music21.chord.Chord E4>,[0],[4],[4],,34,9,2
33.75,<music21.chord.Chord D4>,[0],[2],[2],,34,9,2
34,<music21.chord.Chord C4>,[0],[0],[0],,35,9,3
34.25,<music21.chord.Chord D4>,[0],[2],[2],,35,9,3
34.5,<music21.chord.Chord E4>,[0],[4],[4],,35,9,3
34.75,<music21.chord.Chord F4>,[0],[5],[5],,35,9,3
35,<music21.chord.Chord G4>,[0],[7],[7],,36,9,4
35.25,<music21.chord.Chord F4>,[0],[5],[5],,36,9,4
35.5,<music21.chord.Chord E4>,[0],[4],[4],,36,9,4
35.75,<music21.chord.Chord D4>,[0],[2],[2],2,36,9,4
36,<music21.chord.Chord C6 E6 C4>,"[0, 4]","[0, 4]","[0, 4]",1,37,10,1
36.25,<music21.chord.Chord D4>,[0],[2],[2],,37,10,1
36.5,<music21.chord.Chord E4>,[0],[4],[4],,37,10,1
36.75,<music21.chord.Chord F4>,[0],[5],[5],,37,10,1
37,<music21.chord.Chord G4>,[0],[7],[7],,38,10,2
37.25,<music21.chord.Chord F4>,[0],[5],[5],,38,10,2
37.5,<music21.chord.Chord E4>,[0],[4],[4],,38,10,2
37.75,<music21.chord.Chord D4>,[0],[2],[2],,38,10,2
38,<music21.chord.Chord C4>,[0],[0],[0],,39,10,3
38.25,<music21.chord.Chord D4>,[0],[2],[2],,39,10,3
38.5,<music21.chord.Chord E4>,[0],[4],[4],,39,10,3
38.75,<music21.chord.Chord F4>,[0],[5],[5],,39,10,3
39,<music21.chord.Chord C6 E6 G4>,"[0, 4, 7]","[0, 4, 7]","[0, 4, 7]",,40,10,4
39.25,<music21.chord.Chord A4>,[0],[9],[9],,40,10,4
39.5,<music21.chord.Chord B4>,[0],[11],[11],,40,10,4
39.75,<music21.chord.Chord C5>,[0],[0],[0],,40,10,4
40,<music21.chord.Chord C6 F#6 D4>,"[0, 2, 6]","[0, 2, 6]","[0, 2, 6]",,41,11,1
40.25,<music21.chord.Chord E4>,[0],[4],[4],,41,11,1
40.5,<music21.chord.Chord F#4>,[0],[6],[6],,41,11,1
40.75,<music21.chord.Chord G4>,[0],[7],[7],,41,11,1
41,<music21.chord.Chord A4>,[0],[9],[9],,42,11,2
41.25,<music21.chord.Chord G4>,[0],[7],[7],,42,11,2
41.5,<music21.chord.Chord F#4>,[0],[6],[6],,42,11,2
41.75,<music21.chord.Chord E4>,[0],[4],[4],,42,11,2
42,<music21.chord.Chord D4>,[0],[2],[2],,43,11,3
42.25,<music21.chord.Chord E4>,[0],[4],[4],,43,11,3
42.5,<music21.chord.Chord F#4>,[0],[6],[6],,43,11,3
42.75,<music21.chord.Chord G4>,[0],[7],[7],,43,11,3
43,<music21.chord.Chord F#5 A5 A4>,"[0, 3]","[6, 9]","[6, 9]",,44,11,4
43.25,<music21.chord.Chord G4>,[0],[7],[7],,44,11,4
43.5,<music21.chord.Chord F#4>,[0],[6],[6],,44,11,4
43.75,<music21.chord.Chord E4>,[0],[4],[4],,44,11,4
44,<music21.chord.Chord F#5 D6 D4>,"[0, 4]","[2, 6]","[2, 6]",,45,12,1
44.25,<music21.chord.Chord E4>,[0],[4],[4],,45,12,1
44.5,<music21.chord.Chord F#4>,[0],[6],[6],,45,12,1
44.75,<music21.chord.Chord G4>,[0],[7],[7],,45,12,1
45,<music21.chord.Chord A4>,[0],[9],[9],,46,12,2
45.25,<music21.chord.Chord G4>,[0],[7],[7],,46,12,2
45.5,<music21.chord.Chord F#4>,[0],[6],[6],,46,12,2
45.75,<music21.chord.Chord E4>,[0],[4],[4],,46,12,2
46,<music21.chord.Chord D4>,[0],[2],[2],,47,12,3
46.25,<music21.chord.Chord E4>,[0],[4],[4],,47,12,3
46.5,<music21.chord.Chord F#4>,[0],[6],[6],,47,12,3
46.75,<music21.chord.Chord G4>,[0],[7],[7],,47,12,3
47,<music21.chord.Chord F#5 C6 A4>,"[0, 3, 6]","[6, 9, 0]","[6, 9, 0]",,48,12,4
47.25,<music21.chord.Chord B4>,[0],[11],[11],,48,12,4
47.5,<music21.chord.Chord C5>,[0],[0],[0],,48,12,4
47.75,<music21.chord.Chord D5>,[0],[2],[2],,48,12,4
48,<music21.chord.Chord G5 B5 G4>,"[0, 4]","[7, 11]","[7, 11]",,49,13,1
48.25,<music21.chord.Chord A4>,[0],[9],[9],,49,13,1
48.5,<music21.chord.Chord B4>,[0],[11],[11],,49,13,1
48.75,<music21.chord.Chord C5>,[0],[0],[0],,49,13,1
49,<music21.chord.Chord D5>,[0],[2],[2],,50,13,2
49.25,<music21.chord.Chord C5>,[0],[0],[0],,50,13,2
49.5,<music21.chord.Chord B4>,[0],[11],[11],,50,13,2
49.75,<music21.chord.Chord A4>,[0],[9],[9],,50,13,2
50,<music21.chord.Chord B5 G4>,"[0, 4]","[7, 11]","[7, 11]",,51,13,3
50.25,<music21.chord.Chord G5>,[0],[7],[7],,51,13,3
50.5,<music21.chord.Chord A5>,[0],[9],[9],,51,13,3
50.75,<music21.chord.Chord B5>,[0],[11],[11],,51,13,3
51,<music21.chord.Chord C6>,[0],[0],[0],,52,13,4
51.25,<music21.chord.Chord D6>,[0],[2],[2],,52,13,4
51.5,<music21.chord.Chord E6>,[0],[4],[4],,52,13,4
51.75,<music21.chord.Chord F#6>,[0],[6],[6],,52,13,4
52,<music21.chord.Chord G6 B3 D4 G4>,"[0, 4, 7]","[7, 11, 2]","[7, 11, 2]",,53,14,1
52.25,<music21.chord.Chord A6>,[0],[9],[9],,53,14,1
52.5,<music21.chord.Chord B6>,[0],[11],[11],,53,14,1
52.75,<music21.chord.Chord C7>,[0],[0],[0],,53,14,1
53,<music21.chord.Chord D7>,[0],[2],[2],,54,14,2
53.25,<music21.chord.Chord C7>,[0],[0],[0],,54,14,2
53.5,<music21.chord.Chord B6>,[0],[11],[11],,54,14,2
53.75,<music21.chord.Chord A6>,[0],[9],[9],,54,14,2
54,<music21.chord.Chord G6>,[0],[7],[7],,55,14,3
54.25,<music21.chord.Chord F#6>,[0],[6],[6],,55,14,3
54.5,<music21.chord.Chord E6>,[0],[4],[4],,55,14,3
54.75,<music21.chord.Chord D6>,[0],[2],[2],,55,14,3
55,<music21.chord.Chord C6 B3 D4 G4>,"[0, 4, 5, 7]","[7, 11, 0, 2]","[7, 11, 0, 2]",,56,14,4
55.25,<music21.chord.Chord B5>,[0],[11],[11],,56,14,4
55.5,<music21.chord.Chord A5>,[0],[9],[9],,56,14,4
55.75,<music21.chord.Chord G5>,[0],[7],[7],,56,14,4
56,<music21.chord.Chord F#5 A3 C4 D4 F#4>,"[0, 3, 6, 8]","[6, 9, 0, 2]","[6, 9, 0, 2]",,57,15,1
56.25,<music21.chord.Chord G5>,[0],[7],[7],,57,15,1
56.5,<music21.chord.Chord A5>,[0],[9],[9],,57,15,1
56.75,<music21.chord.Chord B5>,[0],[11],[11],,57,15,1
57,<music21.chord.Chord C6>,[0],[0],[0],,58,15,2
57.25,<music21.chord.Chord B5>,[0],[11],[11],,58,15,2
57.5,<music21.chord.Chord A5>,[0],[9],[9],,58,15,2
57.75,<music21.chord.Chord G5>,[0],[7],[7],,58,15,2
58,<music21.chord.Chord F#5>,[0],[6],[6],,59,15,3
58.25,<music21.chord.Chord E5>,[0],[4],[4],,59,15,3
58.5,<music21.chord.Chord D5>,[0],[2],[2],,59,15,3
58.75,<music21.chord.Chord C5>,[0],[0],[0],,59,15,3
59,<music21.chord.Chord B4 A3 C4 D4>,"[0, 2, 3, 5]","[9, 11, 0, 2]","[9, 11, 0, 2]",,60,15,4
59.25,<music21.chord.Chord A4>,[0],[9],[9],,60,15,4
59.5,<music21.chord.Chord G4>,[0],[7],[7],,60,15,4
59.75,<music21.chord.Chord F#4>,[0],[6],[6],,60,15,4
60,<music21.chord.Chord A4 F#3 C4>,"[0, 3, 6]","[6, 9, 0]","[6, 9, 0]",,61,16,1
60.25,<music21.chord.Chord D4>,[0],[2],[2],,61,16,1
60.5,<music21.chord.Chord E4>,[0],[4],[4],,61,16,1
60.75,<music21.chord.Chord F#4>,[0],[6],[6],,61,16,1
61,<music21.chord.Chord G4>,[0],[7],[7],,62,16,2
61.25,<music21.chord.Chord A4>,[0],[9],[9],,62,16,2
61.5,<music21.chord.Chord B4>,[0],[11],[11],,62,16,2
61.75,<music21.chord.Chord C5>,[0],[0],[0],,62,16,2
62,<music21.chord.Chord D5>,[0],[2],[2],,63,16,3
62.25,<music21.chord.Chord E5>,[0],[4],[4],,63,16,3
62.5,<music21.chord.Chord F#5>,[0],[6],[6],,63,16,3
62.75,<music21.chord.Chord G5>,[0],[7],[7],,63,16,3
63,<music21.chord.Chord A5 F#3 A3 D4>,"[0, 4, 7]","[2, 6, 9]","[2, 6, 9]",,64,16,4
63.25,<music21.chord.Chord B5>,[0],[11],[11],,64,16,4
63.5,<music21.chord.Chord C6>,[0],[0],[0],,64,16,4
63.75,<music21.chord.Chord D6>,[0],[2],[2],,64,16,4
64,<music21.chord.Chord B5 G3 B3 D4>,"[0, 4, 7]","[7, 11, 2]","[7, 11, 2]",,65,17,1
64.25,<music21.chord.Chord G5>,[0],[7],[7],,65,17,1
64.5,<music21.chord.Chord A5>,[0],[9],[9],,65,17,1
64.75,<music21.chord.Chord B5>,[0],[11],[11],,65,17,1
65,<music21.chord.Chord C6>,[0],[0],[0],,66,17,2
65.25,<music21.chord.Chord D6>,[0],[2],[2],,66,17,2
65.5,<music21.chord.Chord E6>,[0],[4],[4],,66,17,2
65.75,<music21.chord.Chord F#6>,[0],[6],[6],,66,17,2
66,<music21.chord.Chord G6>,[0],[7],[7],,67,17,3
66.25,<music21.chord.Chord D6>,[0],[2],[2],,67,17,3
66.5,<music21.chord.Chord E6>,[0],[4],[4],,67,17,3
66.75,<music21.chord.Chord F#6>,[0],[6],[6],,67,17,3
67,<music21.chord.Chord G6>,[0],[7],[7],,68,17,4
67.25,<music21.chord.Chord D6>,[0],[2],[2],,68,17,4
67.5,<music21.chord.Chord E6>,[0],[4],[4],,68,17,4
67.75,<music21.chord.Chord F#6>,[0],[6],[6],2,68,17,4
68,<music21.chord.Chord G6 B2 D3 G3>,"[0, 4, 7]","[7, 11, 2]","[7, 11, 2]",1,69,18,1
68.25,<music21.chord.Chord A6 B2 D3 G3>,"[0, 2, 4, 7]","[7, 9, 11, 2]","[7, 9, 11, 2]",,69,18,1
68.375,<music21.chord.Chord A6>,[0],[9],[9],,69,18,1
68.5,<music21.chord.Chord B6>,[0],[11],[11],,69,18,1
68.75,<music21.chord.Chord C7>,[0],[0],[0],,69,18,1
69,<music21.chord.Chord D7>,[0],[2],[2],,70,18,2
69.25,<music21.chord.Chord C7>,[0],[0],[0],,70,18,2
69.5,<music21.chord.Chord B6>,[0],[11],[11],,70,18,2
69.75,<music21.chord.Chord A6>,[0],[9],[9],,70,18,2
70,<music21.chord.Chord G6>,[0],[7],[7],,71,18,3
70.25,<music21.chord.Chord F#6>,[0],[6],[6],,71,18,3
70.5,<music21.chord.Chord E6>,[0],[4],[4],,71,18,3
70.75,<music21.chord.Chord D6>,[0],[2],[2],,71,18,3
71,<music21.chord.Chord C6 B2 D3 G3>,"[0, 4, 5, 7]","[7, 11, 0, 2]","[7, 11, 0, 2]",,72,18,4
71.25,<music21.chord.Chord B5 B2 D3 G3>,"[0, 4, 7]","[7, 11, 2]","[7, 11, 2]",,72,18,4
71.375,<music21.chord.Chord B5>,[0],[11],[11],,72,18,4
71.5,<music21.chord.Chord A5>,[0],[9],[9],,72,18,4
71.75,<music21.chord.Chord G5>,[0],[7],[7],,72,18,4
72,<music21.chord.Chord F#5 A2 C3 D3 F#3>,"[0, 3, 6, 8]","[6, 9, 0, 2]","[6, 9, 0, 2]",,73,19,1
72.25,<music21.chord.Chord G5 A2 C3 D3 F#3>,"[0, 1, 3, 6, 8]","[6, 7, 9, 0, 2]","[6, 7, 9, 0, 2]",,73,19,1
72.375,<music21.chord.Chord G5>,[0],[7],[7],,73,19,1
72.5,<music21.chord.Chord A5>,[0],[9],[9],,73,19,1
72.75,<music21.chord.Chord B5>,[0],[11],[11],,73,19,1
73,<music21.chord.Chord C6>,[0],[0],[0],,74,19,2
73.25,<music21.chord.Chord B5>,[0],[11],[11],,74,19,2
73.5,<music21.chord.Chord A5>,[0],[9],[9],,74,19,2
73.75,<music21.chord.Chord G5>,[0],[7],[7],,74,19,2
74,<music21.chord.Chord F#5>,[0],[6],[6],,75,19,3
74.25,<music21.chord.Chord E5>,[0],[4],[4],,75,19,3
74.5,<music21.chord.Chord D5>,[0],[2],[2],,75,19,3
74.75,<music21.chord.Chord C5>,[0],[0],[0],,75,19,3
75,<music21.chord.Chord B4 A2 C3 D3 F#3>,"[0, 3, 5, 6, 8]","[6, 9, 11, 0, 2]","[6, 9, 11, 0, 2]",,76,19,4
75.25,<music21.chord.Chord A4 A2 C3 D3 F#3>,"[0, 3, 6, 8]","[6, 9, 0, 2]","[6, 9, 0, 2]",,76,19,4
75.375,<music21.chord.Chord A4>,[0],[9],[9],,76,19,4
75.5,<music21.chord.Chord G4>,[0],[7],[7],,76,19,4
75.75,<music21.chord.Chord F#4>,[0],[6],[6],,76,19,4
76,<music21.chord.Chord A4 F#2 A2 C3 D3>,"[0, 3, 6, 8]","[6, 9, 0, 2]","[6, 9, 0, 2]",,77,20,1
76.25,<music21.chord.Chord D4 F#2 A2 C3 D3>,"[0, 3, 6, 8]","[6, 9, 0, 2]","[6, 9, 0, 2]",,77,20,1
76.375,<music21.chord.Chord D4>,[0],[2],[2],,77,20,1
76.5,<music21.chord.Chord E4>,[0],[4],[4],,77,20,1
76.75,<music21.chord.Chord F#4>,[0],[6],[6],,77,20,1
77,<music21.chord.Chord G4>,[0],[7],[7],,78,20,2
77.25,<music21.chord.Chord A4>,[0],[9],[9],,78,20,2
77.5,<music21.chord.Chord B4>,[0],[11],[11],,78,20,2
77.75,<music21.chord.Chord C5>,[0],[0],[0],,78,20,2
78,<music21.chord.Chord D5>,[0],[2],[2],,79,20,3
78.25,<music21.chord.Chord E5>,[0],[4],[4],,79,20,3
78.5,<music21.chord.Chord F#5>,[0],[6],[6],,79,20,3
78.75,<music21.chord.Chord G5>,[0],[7],[7],,79,20,3
79,<music21.chord.Chord A5 F#2 A2 C3 D3>,"[0, 3, 6, 8]","[6, 9, 0, 2]","[6, 9, 0, 2]",,80,20,4
79.25,<music21.chord.Chord B5 F#2 A2 C3 D3>,"[0, 3, 5, 6, 8]","[6, 9, 11, 0, 2]","[6, 9, 11, 0, 2]",,80,20,4
79.375,<music21.chord.Chord B5>,[0],[11],[11],,80,20,4
79.5,<music21.chord.Chord C6>,[0],[0],[0],,80,20,4
79.75,<music21.chord.Chord D6>,[0],[2],[2],,80,20,4
80,<music21.chord.Chord B5 G2>,"[0, 4]","[7, 11]","[7, 11]",,81,21,1
80.25,<music21.chord.Chord A2>,[0],[9],[9],,81,21,1
80.5,<music21.chord.Chord B2>,[0],[11],[11],,81,21,1
80.75,<music21.chord.Chord C3>,[0],[0],[0],,81,21,1
81,<music21.chord.Chord D3>,[0],[2],[2],,82,21,2
81.25,<music21.chord.Chord E3>,[0],[4],[4],,82,21,2
81.5,<music21.chord.Chord F#3>,[0],[6],[6],,82,21,2
81.75,<music21.chord.Chord G3>,[0],[7],[7],,82,21,2
82,<music21.chord.Chord G2>,[0],[7],[7],,83,21,3
82.25,<music21.chord.Chord B4>,[0],[11],[11],,83,21,3
82.5,<music21.chord.Chord C5>,[0],[0],[0],,83,21,3
82.75,<music21.chord.Chord D5>,[0],[2],[2],,83,21,3
83,<music21.chord.Chord E5>,[0],[4],[4],,84,21,4
83.25,<music21.chord.Chord F#5>,[0],[6],[6],,84,21,4
83.5,<music21.chord.Chord G5>,[0],[7],[7],,84,21,4
83.75,<music21.chord.Chord A5>,[0],[9],[9],,84,21,4
84,<music21.chord.Chord B5 G3>,"[0, 4]","[7, 11]","[7, 11]",,85,22,1
84.25,<music21.chord.Chord A3>,[0],[9],[9],,85,22,1
84.5,<music21.chord.Chord B3>,[0],[11],[11],,85,22,1
84.75,<music21.chord.Chord C4>,[0],[0],[0],,85,22,1
85,<music21.chord.Chord D4>,[0],[2],[2],,86,22,2
85.25,<music21.chord.Chord E4>,[0],[4],[4],,86,22,2
85.5,<music21.chord.Chord F#4>,[0],[6],[6],,86,22,2
85.75,<music21.chord.Chord G4>,[0],[7],[7],,86,22,2
86,<music21.chord.Chord B5 G3>,"[0, 4]","[7, 11]","[7, 11]",,87,22,3
86.25,<music21.chord.Chord A5>,[0],[9],[9],,87,22,3
86.5,<music21.chord.Chord G5>,[0],[7],[7],,87,22,3
86.75,<music21.chord.Chord F#5>,[0],[6],[6],,87,22,3
87,<music21.chord.Chord E5>,[0],[4],[4],,88,22,4
87.25,<music21.chord.Chord D5>,[0],[2],[2],,88,22,4
87.5,<music21.chord.Chord C5>,[0],[0],[0],,88,22,4
87.75,<music21.chord.Chord B4>,[0],[11],[11],,88,22,4
88,<music21.chord.Chord C5 A2>,"[0, 3]","[9, 0]","[9, 0]",,89,23,1
88.25,<music21.chord.Chord B2>,[0],[11],[11],,89,23,1
88.5,<music21.chord.Chord C3>,[0],[0],[0],,89,23,1
88.75,<music21.chord.Chord D3>,[0],[2],[2],,89,23,1
89,<music21.chord.Chord E3>,[0],[4],[4],,90,23,2
89.25,<music21.chord.Chord F#3>,[0],[6],[6],,90,23,2
89.5,<music21.chord.Chord G3>,[0],[7],[7],,90,23,2
89.75,<music21.chord.Chord A3>,[0],[9],[9],,90,23,2
90,<music21.chord.Chord A2>,[0],[9],[9],,91,23,3
90.25,<music21.chord.Chord C5>,[0],[0],[0],,91,23,3
90.5,<music21.chord.Chord D5>,[0],[2],[2],,91,23,3
90.75,<music21.chord.Chord E5>,[0],[4],[4],,91,23,3
91,<music21.chord.Chord F#5>,[0],[6],[6],,92,23,4
91.25,<music21.chord.Chord G5>,[0],[7],[7],,92,23,4
91.5,<music21.chord.Chord A5>,[0],[9],[9],,92,23,4
91.75,<music21.chord.Chord B5>,[0],[11],[11],,92,23,4
